,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
22,vsBRF,DM,11,4.91,0.0,0.81,0.0,0.26,0.45,0.79,0.36,0.0,0.0,1.15,1.4,1.51,0.38,0.75,0.0,0.0,0.0,1.64,0.0,0.0,2.66,0.0,0.0,6.02,-1.11,0.25,1.0,16.89
51,vsLIV,CM,12,4.62,0.0,0.54,0.0,0.06,1.41,0.67,0.39,0.0,0.09,1.0,2.06,1.33,0.31,0.8,0.0,0.0,0.0,1.94,0.0,0.0,2.41,0.0,0.0,5.73,-1.11,0.39,1.0,19.98
47,vsFUL,DM,8,4.33,0.0,0.5,0.0,0.28,0.78,0.94,0.42,0.0,0.08,1.42,1.44,0.78,0.17,0.28,0.0,0.0,0.0,0.28,0.72,0.0,2.67,0.0,0.0,4.92,-1.31,0.83,1.0,19.4
63,vsMCI,LM,7,4.18,0.0,0.79,0.0,0.13,1.05,0.66,0.13,0.0,0.0,0.92,1.05,0.39,0.39,0.53,0.0,0.0,0.0,2.29,0.13,0.0,1.66,0.0,0.0,4.9,-0.86,0.53,1.0,14.42
78,vsNOT,LM,6,4.14,0.0,0.82,0.0,0.5,0.39,1.75,0.0,0.0,0.46,0.32,0.21,0.54,0.0,1.32,0.0,0.0,0.0,0.79,0.18,0.0,0.57,0.0,0.0,5.02,-0.88,0.54,1.0,17.52
54,vsLIV,RM,2,4.11,0.0,0.44,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.44,1.56,0.0,0.0,0.0,0.0,0.0,1.33,0.56,0.0,1.0,0.0,0.0,3.56,0.0,0.56,1.0,25.78
8,vsAVL,LM,7,4.05,0.0,0.61,0.0,0.39,0.97,0.91,0.15,0.0,0.45,0.0,0.39,1.06,0.0,0.15,0.0,0.0,0.0,2.12,0.24,0.0,1.48,0.79,0.0,4.56,-0.76,0.55,1.0,20.31
6,vsAVL,CM,14,3.82,0.05,0.55,0.0,0.27,0.82,0.73,0.24,0.08,0.0,0.52,0.92,0.77,0.52,0.79,0.0,0.0,0.0,2.61,0.13,0.05,2.81,0.0,0.0,4.67,-1.41,0.53,1.0,12.05
62,vsMCI,DM,6,3.82,0.0,0.5,0.0,0.29,0.46,0.64,0.36,0.0,0.0,0.82,2.43,0.32,0.96,1.43,0.0,0.0,0.0,2.29,0.0,0.0,1.43,0.14,0.0,4.86,-1.04,0.64,1.0,18.62
34,vsCHE,RM,4,3.75,0.0,1.5,0.0,0.0,0.25,1.25,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,2.25,0.0,0.0,2.0,0.25,0.0,4.38,-0.62,0.5,1.0,22.83
40,vsEVE,AM,5,3.29,0.0,0.62,0.0,0.42,0.62,3.0,0.17,0.0,0.0,0.21,1.04,1.08,0.21,1.83,0.0,0.0,0.0,1.21,0.21,0.0,1.25,0.38,0.0,5.12,-1.83,0.38,1.0,13.24
31,vsCHE,CM,13,3.21,0.0,0.33,0.0,0.07,1.25,0.53,0.4,0.0,0.0,1.15,0.8,0.42,0.17,0.25,0.0,0.0,0.0,1.53,0.37,0.0,2.37,0.08,0.0,3.91,-1.07,0.22,1.0,10.47
97,vsWOL,DM,7,2.5,0.0,0.71,0.0,0.0,1.57,1.43,0.43,0.14,0.0,0.71,0.86,0.43,0.57,0.43,0.0,0.0,0.0,0.86,0.14,0.0,3.57,0.0,0.0,4.93,-2.57,0.57,1.0,9.83
64,vsMCI,RM,7,2.42,0.0,0.92,0.0,0.0,0.95,1.58,0.39,0.0,0.0,0.82,0.66,0.13,0.13,0.13,0.0,0.0,0.0,2.18,0.13,0.0,2.18,0.08,0.0,4.13,-1.84,0.53,1.0,20.55
4,vsARS,RM,5,2.02,0.0,0.17,0.0,0.0,0.87,0.48,0.35,0.0,0.0,0.48,0.91,0.0,0.13,0.83,0.0,0.0,0.0,1.26,0.35,0.0,1.26,0.0,0.0,2.57,-1.98,0.13,1.0,12.65
89,vsTOT,RM,2,1.75,0.0,1.5,0.0,0.5,0.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,4.0,0.5,0.0,4.0,-2.25,1.0,1.0,16.5
61,vsMCI,CM,13,1.36,0.0,0.18,0.0,0.07,0.41,0.21,0.45,0.0,0.14,0.45,1.14,0.21,0.34,0.52,0.0,0.0,0.0,2.15,0.07,0.0,2.73,0.0,0.0,2.3,-1.01,0.68,1.0,13.07
