Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
Max Kilman,WOL,D,8,5.5,5.5,-12,22.75,-2.0,200,165,41,29,1,1,0,1,0,0,0,0,0,0,0,1,6,0,1,2,0,0,0,1,0,23%,90
Oliver McBurnie,SHU,F,8,5.5,5.5,0,10.5,-3.0,133,187,39,39,1,1,0,0,0,2,0,2,1,0,0,1,1,1,0,5,0,0,0,3,0,21%,90
Lewis Cook,BOU,M,8,5.5,5.5,3,17.0,-0.5,200,146,48,51,1,1,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,3,0,4%,65
Alex Iwobi,FUL,M,8,5.5,5.5,-30,9.5,0.0,105,206,67,37,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,64%,78
Douglas Luiz,AVL,M,8,5.5,5.5,11,21.5,0.0,81,50,18,29,1,1,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,98%,90
Carlos Baleba,BHA,M,8,5.5,5.5,-44,7.0,-2.0,200,328,95,51,1,1,0,0,0,0,0,0,1,0,0,3,0,2,2,1,0,0,0,2,0,4%,90
Tim Ream,FUL,D,8,5.5,5.5,-8,13.25,-3.0,200,155,37,29,1,1,0,0,0,0,3,2,0,0,0,1,2,0,0,4,0,0,0,1,0,34%,90
Josko Gvardiol,MCI,D,8,5.5,5.5,2,22.75,-3.0,200,130,27,29,1,1,0,0,0,1,2,2,0,0,0,2,2,0,1,1,0,0,0,1,0,82%,90
Serge Aurier,NOT,D,8,5.25,5.25,-7,2.25,-0.5,200,154,36,29,1,1,0,0,0,1,0,1,0,0,0,1,3,1,0,1,0,0,0,0,0,57%,45
Marc Cucurella,CHE,D,8,5.25,5.25,-39,0.0,-4.0,200,281,68,29,1,1,0,1,0,0,3,0,1,0,0,3,1,0,0,1,0,0,0,1,0,52%,90
Luis Diaz,LIV,F,8,5.0,5.0,-15,12.0,-0.5,30,88,27,12,1,1,0,0,0,0,3,1,0,0,0,0,0,2,0,1,0,0,0,2,0,100%,90
Orel Mangala,NOT,M,8,5.0,4.0,-25,11.0,-1.0,200,247,76,51,1,1,0,1,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1%,82
