Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats
Nathan Ake,MCI,D,0.55,52.75,8.62,38.75,6.33,0.73,-12.0,200,6,9,2,3,0,3,6,0,0,0,0,5,11,0,0,13,0,0,0,6,1,551,8.79,10,23,13,6
Christian Eriksen,MUN,M,0.45,52.5,8.44,40.5,6.51,0.77,-4.0,200,5,10,1,8,1,2,8,8,0,0,2,3,5,2,5,1,0,0,0,12,1,560,10.5,14,22,3,20
Chris Wood,NOT,F,0.18,52.0,20.72,27.5,10.96,0.53,-2.5,200,2,9,3,5,0,5,1,5,0,0,0,1,4,0,0,11,0,0,0,2,1,226,26.0,19,7,11,7
Manor Solomon,TOT,F,0.18,52.0,24.3,43.0,20.09,0.83,-3.0,200,2,5,0,12,2,1,3,2,1,0,1,3,1,10,0,0,0,0,0,2,0,193,26.0,16,7,10,5
Antonee Robinson,FUL,D,0.91,51.75,5.18,88.25,8.82,1.71,-48.5,130,10,10,0,6,0,0,15,7,3,0,6,22,21,12,1,15,0,0,1,17,2,900,5.18,12,61,27,28
Joseph Gomez,LIV,D,0.45,51.25,9.3,48.75,8.85,0.95,-9.5,200,5,10,0,7,0,0,8,3,1,0,2,7,15,3,1,10,0,0,0,3,2,496,10.25,9,33,13,7
Antoine Semenyo,BOU,F,0.36,50.0,13.37,35.5,9.49,0.71,-9.5,200,4,8,2,3,1,6,2,15,1,0,2,2,1,9,0,5,0,0,0,11,0,337,12.5,16,5,14,27
Alexis Mac Allister,LIV,M,1.00,50.0,5.11,63.5,6.49,1.27,-22.5,110,11,11,0,8,1,1,15,11,5,1,0,14,7,9,4,7,0,0,0,9,3,880,4.55,10,43,16,26
Kristoffer Ajer,BRF,D,0.55,49.25,8.19,53.75,8.94,1.09,-23.5,200,6,9,0,5,1,1,7,3,2,0,2,3,19,5,1,19,0,0,0,9,2,541,8.21,9,32,24,14
Tim Ream,FUL,D,0.91,49.25,5.08,57.75,5.95,1.17,-36.5,200,10,10,1,0,0,1,8,3,1,1,0,15,35,2,4,18,0,0,0,13,3,873,4.92,2,65,20,18
