Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,90s,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats,deadball agg,position
Hamed Traore,BOU,M,0.00,10.0,21.74,10.5,22.83,1.05,-0.5,200,0,3,0,1,0,2,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,41,inf,0.46,3,0,5,2,0.0,
Carney Chukwuemeka,CHE,M,0.10,10.0,7.19,6.0,4.32,0.6,-5.0,200,2,2,1,1,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,2,0,125,5.0,1.39,3,1,1,6,0.0,
Alejo Veliz,TOT,F,0.00,9.5,22.09,3.5,8.14,0.37,-3.0,200,0,8,1,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,0,2,0,39,inf,0.43,2,0,2,5,0.0,
Matheus Franca,CRY,F,0.00,9.5,20.65,10.0,21.74,1.05,-0.5,200,0,5,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,41,inf,0.46,5,0,1,1,0.0,
Clement Lenglet,AVL,D,0.15,9.5,3.54,13.0,4.85,1.37,-10.5,200,3,3,0,2,1,0,3,1,0,0,0,1,4,0,0,4,0,0,0,5,0,241,3.17,2.68,3,8,4,6,0.0,
Jakub Kiwior,ARS,D,0.20,9.0,2.78,15.0,4.63,1.67,-12.0,200,4,8,0,0,0,1,6,0,0,0,1,1,12,0,1,1,0,0,0,6,1,292,2.25,3.24,2,21,1,6,0.0,
John Egan,SHU,D,0.30,8.25,1.54,46.75,8.72,5.67,-38.5,200,6,6,0,0,0,1,4,1,2,0,0,13,39,0,4,14,0,0,0,17,0,482,1.38,5.36,1,60,14,20,0.0,
Max Lowe,SHU,D,0.15,7.5,2.2,25.5,7.48,3.4,-18.0,200,3,7,0,1,0,0,9,0,1,0,1,5,10,1,2,3,0,0,0,8,0,307,2.5,3.41,2,26,4,9,0.0,
Mohamed Elneny,ARS,M,0.00,7.5,750.0,1.5,150.0,0.2,0.0,200,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,inf,0.01,1,1,1,0,0.0,
Reiss Nelson,ARS,F,0.00,7.5,7.01,10.0,9.35,1.33,-2.5,200,0,9,0,2,0,0,3,1,1,0,2,0,4,0,1,0,0,0,0,0,0,96,inf,1.07,4,8,0,2,0.0,
Benson Manuel,BUR,F,0.05,7.0,8.97,8.0,10.26,1.14,-1.0,200,1,4,0,0,0,1,2,2,0,0,1,0,0,3,0,0,0,0,0,3,0,70,7.0,0.78,2,2,3,5,0.0,
Divock Origi,NOT,F,0.10,6.5,3.44,11.0,5.82,1.69,-4.5,200,2,9,0,2,0,1,0,5,1,0,1,0,0,3,0,2,0,0,0,3,0,170,3.25,1.89,4,0,5,9,0.0,
Rodrigo Bentancur,TOT,M,0.10,6.0,3.77,10.5,6.6,1.75,-4.5,142,2,5,0,1,0,0,3,5,1,0,0,2,5,3,0,1,0,0,0,6,0,143,3.0,1.59,1,10,4,12,0.0,
Kalvin Phillips,MCI,M,0.00,6.0,6.38,7.0,7.45,1.17,-1.0,200,0,4,0,0,0,0,3,2,0,0,1,2,2,1,0,0,0,0,0,2,0,85,inf,0.94,1,7,1,4,0.0,
Michael Olakigbe,BRF,F,0.00,6.0,11.76,6.5,12.75,1.08,-0.5,200,0,8,0,0,0,1,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,46,inf,0.51,1,1,4,1,0.0,
Aleksandar Mitrovic,FUL,F,0.00,6.0,17.65,6.0,17.65,1.0,0.0,200,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,31,inf,0.34,1,0,5,0,0.0,
Philippe Coutinho,AVL,M,0.00,6.0,25.0,6.0,25.0,1.0,0.0,200,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,22,inf,0.24,1,0,4,1,0.0,
Ben Osborn,SHU,M,0.15,6.0,1.78,12.0,3.56,2.0,-6.0,200,3,9,0,3,0,0,1,4,2,0,3,1,9,0,0,2,0,0,0,5,0,303,2.0,3.37,6,11,2,11,15.0,LW
Rhian Brewster,SHU,F,0.10,5.5,2.67,6.0,2.91,1.09,-0.5,200,2,7,0,1,0,1,1,1,0,0,0,0,2,0,0,2,0,0,0,5,0,185,2.75,2.06,2,3,2,6,0.0,
Adama Traore,FUL,F,0.00,5.0,12.5,6.0,15.0,1.2,-1.0,200,0,4,0,0,0,1,0,2,0,0,1,0,1,2,0,2,0,0,0,3,0,36,inf,0.4,2,1,4,5,0.0,
Santiago Bueno,WOL,D,0.10,5.0,2.26,15.0,6.79,3.0,-10.0,200,2,3,0,0,0,0,2,0,0,0,0,2,16,1,2,4,0,0,0,5,0,199,2.5,2.21,0,22,5,5,0.0,
Amad Diallo,MUN,F,0.00,5.0,12.82,5.0,12.82,1.0,0.0,200,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,inf,0.39,2,1,0,2,0.0,
Jakub Moder,BHA,M,0.00,5.0,7.81,8.0,12.5,1.6,-3.0,200,0,5,0,2,0,0,4,2,1,0,0,0,4,0,0,0,0,0,0,2,0,58,inf,0.64,2,8,0,5,0.0,
Lewis Hall,NEW,D,0.05,5.0,4.81,13.0,12.5,2.6,-8.0,200,1,7,0,0,0,1,6,4,1,0,0,2,0,1,0,2,0,0,0,2,0,94,5.0,1.04,1,8,3,7,0.0,
Naouirou Ahamada,CRY,M,0.00,5.0,3.88,9.0,6.98,1.8,-4.0,200,0,10,0,1,0,0,2,4,1,0,0,1,0,3,0,2,0,0,0,5,0,116,inf,1.29,1,3,5,10,0.0,
Jadon Sancho,MUN,M,0.00,5.0,6.17,6.0,7.41,1.2,-1.0,200,0,3,0,1,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,73,inf,0.81,1,1,3,3,0.0,
Yasser Larouci,SHU,D,0.10,4.5,1.49,21.0,6.93,4.67,-16.5,200,2,6,0,0,0,1,5,1,1,0,0,6,12,4,1,0,0,0,0,7,0,273,2.25,3.03,1,24,4,9,0.0,
Jairo Riedewald,CRY,M,0.10,4.5,2.37,4.5,2.37,1.0,-1.0,200,2,4,0,0,0,0,1,2,0,0,0,2,0,1,0,1,0,0,0,2,1,171,2.25,1.9,0,4,2,4,14.0,CM
Kevin De Bruyne,MCI,M,0.05,4.0,16.67,4.0,16.67,1.0,0.0,43,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,4.0,0.24,3,0,0,0,0.0,
Aaron Hickey,BRF,D,0.45,4.0,0.51,28.5,3.6,7.12,-36.5,200,9,9,0,1,0,1,9,5,5,0,0,3,10,5,3,2,0,0,0,12,2,713,0.44,7.92,2,27,7,22,23.0,RB
Fode Ballo-Toure,FUL,D,0.00,3.5,7.14,7.5,15.31,2.14,-4.0,200,0,4,0,0,0,0,1,0,1,0,0,3,2,3,0,0,0,0,0,1,0,44,inf,0.49,0,6,3,2,0.0,
Tom Davies,SHU,M,0.00,3.5,5.83,7.0,11.67,2.0,-3.5,200,0,3,0,1,0,0,2,3,1,0,0,2,2,1,0,0,0,0,0,5,0,54,inf,0.6,1,6,1,9,0.0,
Jaidon Anthony,BOU,F,0.10,3.5,2.1,6.5,3.89,1.86,-3.0,200,2,3,0,0,0,1,1,2,1,0,0,1,2,2,0,1,0,0,0,5,0,150,1.75,1.67,1,4,3,8,0.0,
Aymeric Laporte,MCI,D,0.00,3.25,29.55,3.25,29.55,1.0,0.0,200,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,inf,0.11,1,2,0,0,0.0,
John Fleck,SHU,M,0.05,3.0,3.12,5.0,5.21,1.67,-2.0,200,1,4,0,2,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,5,0,86,3.0,0.96,2,1,2,6,0.0,
Luke Harris,FUL,M,0.00,3.0,3.7,3.0,3.7,1.0,0.0,200,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,73,inf,0.81,1,1,0,5,0.0,
Michael Obafemi,BUR,F,0.00,2.5,13.16,3.0,15.79,1.2,-0.5,200,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,17,inf,0.19,0,0,3,1,0.0,
Lisandro Martinez,MUN,D,0.25,2.5,0.6,21.5,5.16,8.6,-26.0,200,5,5,0,3,1,0,6,2,2,0,0,2,10,2,2,1,0,0,1,8,0,375,0.5,4.17,4,20,3,13,0.0,
Hjalmar Ekdal,BUR,D,0.05,2.5,2.23,6.5,5.8,2.6,-4.0,200,1,3,0,1,0,0,0,0,1,0,0,2,6,0,0,1,0,0,0,1,0,101,2.5,1.12,1,8,1,2,0.0,
Zanka,BRF,D,0.10,2.5,1.21,12.5,6.04,5.0,-10.0,200,2,4,0,1,0,0,2,0,0,0,1,3,6,2,1,0,0,0,0,5,0,186,1.25,2.07,2,12,2,5,0.0,
Youssef Ramalho Chermiti,EVE,F,0.00,2.5,5.43,5.5,11.96,2.2,-3.0,200,0,7,0,1,0,0,0,2,1,0,0,0,0,0,0,7,0,0,0,2,0,41,inf,0.46,1,0,7,5,0.0,
Felipe,NOT,D,0.05,2.0,1.37,14.0,9.59,7.0,-12.0,200,1,3,0,1,0,0,4,0,1,0,0,1,4,1,1,4,0,0,0,5,0,131,2.0,1.46,1,10,5,6,0.0,
Chris Mepham,BOU,D,0.10,2.0,1.05,16.0,8.38,8.0,-14.0,200,2,5,0,1,0,1,2,0,1,0,0,3,8,0,2,3,0,0,0,6,0,172,1.0,1.91,2,15,3,7,0.0,
Donny van de Beek,MUN,M,0.00,2.0,200.0,2.0,200.0,1.0,0.0,200,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,inf,0.01,1,0,0,0,0.0,
Divin Mubama,WHU,F,0.00,2.0,2.56,2.0,2.56,1.0,0.0,200,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,70,inf,0.78,0,0,4,1,0.0,
Daniel Gore,MUN,M,0.00,2.0,200.0,2.0,200.0,1.0,0.0,200,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,inf,0.01,0,2,0,0,0.0,
Ian Maatsen,CHE,D,0.05,1.75,0.83,17.25,8.14,9.86,-15.5,200,1,12,0,2,0,1,2,7,1,0,1,3,9,0,0,3,0,0,0,5,0,191,1.75,2.12,4,14,3,13,0.0,
Jordan Clark,LUT,M,0.00,1.5,1.81,3.5,4.22,2.33,-2.0,200,0,5,0,1,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,3,0,75,inf,0.83,1,4,1,4,0.0,
Alex Murphy,NEW,D,0.00,1.0,50.0,1.0,50.0,1.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,inf,0.02,0,1,0,0,0.0,
Myles Peart-Harris,BRF,M,0.00,1.0,10.0,2.0,20.0,2.0,-1.0,200,0,3,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9,inf,0.1,1,1,0,2,0.0,
Alfie Gilchrist,CHE,D,0.00,1.0,50.0,1.0,50.0,1.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,inf,0.02,0,1,0,0,0.0,
Danny Ings,WHU,F,0.05,1.0,0.73,3.5,2.55,3.5,-2.5,200,1,10,0,0,0,0,1,1,1,0,0,0,3,1,1,1,0,0,0,5,0,123,1.0,1.37,0,5,2,7,0.0,
James McConnell,LIV,M,0.00,1.0,100.0,1.0,100.0,1.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,inf,0.01,0,1,0,0,0.0,
Jonny,WOL,D,0.00,1.0,33.33,1.0,33.33,1.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,inf,0.03,0,1,0,0,0.0,
James Hill,BOU,D,0.00,0.5,3.12,1.0,6.25,2.0,-0.5,200,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14,inf,0.16,0,0,1,1,0.0,
David Ozoh,CRY,M,0.00,0.5,0.51,4.5,4.59,9.0,-4.0,200,0,4,0,0,0,0,3,4,1,0,0,0,1,1,0,1,0,0,0,2,0,88,inf,0.98,0,4,2,7,0.0,
Bertrand Traore,AVL,M,0.00,0.5,5.0,1.0,10.0,2.0,-0.5,200,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,inf,0.1,0,1,0,1,0.0,
Davinson Sanchez,TOT,D,0.00,0.5,0.6,6.5,7.83,13.0,-6.0,200,0,1,0,0,0,0,0,0,1,0,0,1,2,0,2,3,0,0,0,2,0,75,inf,0.83,0,5,3,3,0.0,
Deivid Washington de Souza Eugenio,CHE,F,0.00,0.5,5.56,1.0,11.11,2.0,-0.5,200,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,inf,0.09,0,1,0,2,0.0,
Tyrone Mings,AVL,D,0.05,0.25,0.76,4.25,12.88,17.0,-4.0,200,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,30,0.25,0.33,1,2,1,2,0.0,
Jurrien Timber,ARS,D,0.05,0.25,0.46,2.25,4.17,9.0,-2.0,200,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,49,0.25,0.54,0,2,1,1,0.0,
Tyler Onyango,EVE,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,0,0,0,0,0.0,
Luke Berry,LUT,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0.0,0.27,0,0,0,1,0.0,
Josh Dasilva,BRF,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.1,0,0,0,0,0.0,
Romeo Lavia,CHE,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0.0,0.34,0,1,0,0,0.0,
Mason Burstow,CHE,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0.0,0.08,0,0,0,1,0.0,
Tim Iroegbunam,AVL,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.03,0,0,0,0,0.0,
Rhys Norrington-Davies,SHU,D,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,0,0,0,0,0.0,
Jack Cork,BUR,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.17,0,0,0,0,0.0,
Paul Dummett,NEW,D,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.03,0,0,0,0,0.0,
Ryan One,SHU,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0.0,0.07,0,0,0,2,0.0,
Jaden Philogene-Bidace,AVL,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0.02,0,0,0,1,0.0,
Antwoine Hackford,SHU,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0.0,0.1,0,0,0,1,0.0,
Ben Doak,LIV,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.13,0,0,0,0,0.0,
James Tomkins,CRY,D,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,0,0,0,0,0.0,
Amadou Diallo,NEW,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,0,0,0,0,0.0,
Jamie Donley,TOT,F,0.00,0.0,0.0,0.5,25.0,inf,-0.5,200,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0.0,0.02,0,1,1,2,0.0,
Sydie Peck,SHU,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.09,0,0,0,0,0.0,
Ben Parkinson,NEW,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,23,0.0,0.26,0,1,0,1,0.0,
Benicio Baker-Boaitey,BHA,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0.0,0.11,0,1,0,0,0.0,
Michael Ndiweni,NEW,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,0,0,0,0,0.0,
Andrey Santos,NOT,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.07,0,0,0,0,0.0,
Thomas Cannon,EVE,F,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,0,0,0,0,0.0,
Maxwel Cornet,WHU,M,0.00,0.0,0.0,0.0,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,0,0,0,0,0.0,
Alex Matos,CHE,F,0.00,-0.5,-50.0,0.0,0.0,-0.0,-0.5,200,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-inf,0.01,0,0,0,1,0.0,
Anass Zaroury,BUR,F,0.05,-1.0,-0.7,7.0,4.9,-7.0,-8.0,200,1,5,0,2,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,4,0,129,-1.0,1.43,3,1,1,7,0.0,
Thilo Kehrer,WHU,D,0.00,-2.0,-11.11,4.0,22.22,-2.0,-6.0,200,0,4,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,1,0,16,-inf,0.18,0,3,1,3,0.0,
Matt Ritchie,NEW,D,0.00,-2.25,-2.06,8.25,7.57,-3.67,-10.5,200,0,7,0,0,0,2,2,1,1,0,0,1,5,0,0,0,0,0,0,4,0,98,-inf,1.09,2,8,0,6,0.0,
Willy Kambwala,MUN,D,0.05,-2.75,-2.96,1.75,1.88,-0.64,-4.5,200,1,2,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,2,0,84,-2.75,0.93,0,4,0,3,0.0,
Hannes Delcroix,BUR,D,0.15,-2.75,-0.65,31.75,7.54,-11.55,-34.5,200,3,9,0,3,0,2,3,1,1,0,0,8,11,1,1,6,0,0,0,16,0,379,-0.92,4.21,5,23,7,18,0.0,
Nuno Tavares,NOT,D,0.05,-3.25,-3.22,4.75,4.7,-1.46,-8.0,200,1,3,0,0,0,0,2,0,2,0,1,0,3,1,0,0,0,0,0,2,0,91,-3.25,1.01,1,5,1,4,0.0,
Aaron Cresswell,WHU,D,0.10,-3.75,-2.6,6.75,4.69,-1.8,-10.5,200,2,3,0,1,0,0,0,1,1,0,2,0,3,0,1,1,0,0,0,4,0,130,-1.88,1.44,3,4,1,6,12.0,LB
Eric Dier,TOT,D,0.05,-4.0,-1.83,12.0,5.48,-3.0,-16.0,200,1,4,0,0,0,0,1,0,0,0,0,2,12,0,3,3,0,0,0,8,0,197,-4.0,2.19,0,18,3,8,0.0,
Connor Roberts,BUR,D,0.40,-7.25,-0.85,39.25,4.61,-5.41,-53.5,200,8,12,0,6,1,0,5,1,2,1,2,4,21,0,6,5,0,0,0,21,0,766,-0.91,8.51,9,36,5,25,76.0,RB
Matt Targett,NEW,D,0.05,-7.5,-8.93,2.5,2.98,-0.33,-10.0,200,1,3,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,76,-7.5,0.84,1,2,0,5,0.0,
Ameen Al Dakhil,BUR,D,0.50,-12.0,-1.24,42.0,4.33,-3.5,-54.0,200,10,11,0,1,0,1,4,6,1,0,1,8,28,2,4,12,0,0,1,22,0,874,-1.2,9.71,3,44,14,30,26.0,CB
Luke Thomas,SHU,D,0.55,-12.0,-1.18,54.5,5.36,-4.54,-66.5,200,11,12,0,2,0,1,9,5,3,0,4,10,22,5,5,10,0,0,0,29,0,914,-1.09,10.16,7,46,15,37,27.0,WB
