,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
18,AVL,RM,4,11.75,0.25,1.25,0.25,1.25,1.25,1.75,0.0,0.0,0.25,1.0,0.75,1.5,0.0,0.5,0.0,0.0,0.0,1.0,0.25,0.5,1.25,0.25,0.0,9.38,-1.38,0.5,1,34.88
51,LIV,RM,2,11.68,0.14,2.21,0.29,0.57,0.64,0.64,0.07,0.0,0.21,0.64,0.71,1.14,0.0,0.57,0.0,0.14,0.0,0.79,0.36,0.29,1.57,0.21,0.0,8.79,-0.46,0.5,1,31.75
50,LIV,RB,2,11.63,0.13,1.93,0.2,0.27,1.0,0.27,0.2,0.0,0.6,1.07,1.73,1.2,0.0,0.47,0.0,0.0,0.0,0.87,0.33,0.27,0.93,0.0,0.0,9.17,-2.27,0.47,1,31.63
26,BHA,LB,7,11.55,0.13,1.87,0.53,0.47,0.87,0.73,0.33,0.0,0.8,1.0,1.0,0.53,0.13,1.07,0.0,0.0,0.0,1.33,0.0,0.67,1.87,0.07,0.0,8.98,-2.23,0.6,1,30.41
96,WHU,AM,5,11.54,0.42,1.25,0.08,0.92,1.17,1.92,0.17,0.0,0.33,0.92,1.5,0.5,0.25,1.83,0.0,0.0,0.0,1.42,0.17,0.5,1.75,0.25,0.08,8.42,-1.29,0.58,1,36.15
32,CHE,AM,5,11.33,0.2,1.93,0.33,0.53,1.27,1.87,0.07,0.0,0.53,0.4,0.33,1.0,0.07,0.27,0.0,0.07,0.0,1.53,0.2,0.4,1.4,0.2,0.0,8.47,-1.07,0.6,1,34.96
47,LIV,LB,3,11.31,0.06,2.0,0.19,0.12,1.38,0.31,0.06,0.0,0.69,0.75,2.12,0.38,0.19,1.0,0.0,0.0,0.0,0.88,0.38,0.25,1.0,0.19,0.0,9.16,-2.03,0.44,1,31.62
93,TOT,RB,1,10.73,0.0,1.73,0.4,0.27,2.13,0.33,0.2,0.0,0.53,0.67,2.0,0.8,0.53,0.53,0.0,0.0,0.0,1.4,0.27,0.33,1.87,0.0,0.0,9.7,-3.37,0.53,1,30.02
2,ARS,FW,3,10.7,0.4,1.0,0.27,0.93,0.47,1.27,0.13,0.0,0.0,0.33,0.33,0.87,0.0,1.2,0.0,0.13,0.0,0.73,0.53,0.53,1.47,0.67,0.0,6.4,-0.9,0.47,1,24.77
78,NEW,FW,3,10.66,0.69,0.31,0.0,1.38,0.25,1.38,0.06,0.0,0.0,0.12,0.25,1.38,0.0,0.31,0.0,0.0,0.0,1.06,0.44,0.69,1.12,0.19,0.19,5.28,-0.81,0.5,1,28.36
7,ARS,RM,2,10.62,0.25,1.88,0.19,0.81,0.56,1.38,0.12,0.0,0.56,0.38,0.06,0.56,0.0,0.62,0.0,0.06,0.0,0.88,0.38,0.38,1.19,0.12,0.12,7.88,-0.94,0.5,1,32.64
95,TOT,RW,2,10.53,0.25,2.0,0.06,0.69,0.69,1.81,0.19,0.0,0.5,0.56,0.12,1.56,0.06,0.25,0.0,0.0,0.0,1.06,0.38,0.31,2.19,0.5,0.0,8.88,-1.28,0.5,1,33.25
41,CHE,RM,1,10.5,0.0,1.0,0.5,0.0,2.5,1.0,0.0,0.0,0.5,1.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,3.0,0.0,0.0,7.5,-0.5,0.0,1,27.75
59,MCI,LM,2,10.5,0.0,3.0,0.5,0.5,1.0,1.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,3.0,0.0,0.0,8.75,-1.75,0.0,1,4.5
46,LIV,FW,4,10.47,0.24,1.18,0.41,1.06,0.47,1.0,0.18,0.0,0.0,0.24,0.47,0.82,0.18,1.12,0.0,0.0,0.0,0.88,0.29,0.47,1.53,0.65,0.0,6.74,-0.85,0.41,1,29.8
81,NEW,LW,4,10.44,0.38,1.06,0.25,0.81,0.69,1.62,0.31,0.0,0.25,0.31,0.12,1.25,0.0,0.38,0.0,0.06,0.0,1.12,0.44,0.56,1.94,0.06,0.0,6.56,-1.44,0.5,1,35.57
5,ARS,LW,3,10.43,0.13,1.6,0.2,0.73,0.73,1.87,0.07,0.0,0.8,0.47,0.2,1.73,0.0,0.73,0.0,0.0,0.0,0.93,0.4,0.27,1.13,0.53,0.0,8.77,-1.07,0.47,1,27.35
6,ARS,RB,3,10.38,0.06,0.88,0.19,0.31,1.19,0.62,0.06,0.0,0.62,1.06,1.88,0.69,0.56,1.06,0.0,0.0,0.0,0.81,0.44,0.19,0.75,0.19,0.0,7.94,-1.81,0.5,1,28.55
19,AVL,RW,2,10.25,0.25,1.25,0.5,0.25,0.5,1.0,0.25,0.0,0.25,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,2.5,0.0,0.0,5.75,-1.0,0.75,1,13.5
80,NEW,LM,4,9.84,0.12,1.38,0.12,0.69,1.69,1.44,0.25,0.0,0.06,0.75,0.69,1.31,0.38,1.0,0.0,0.0,0.0,1.12,0.38,0.25,2.38,0.0,0.0,8.81,-1.22,0.5,1,24.29
44,LIV,CB,5,9.63,0.03,0.31,0.06,0.19,0.75,0.28,0.16,0.0,0.0,1.31,4.47,0.09,1.03,3.94,0.0,0.0,0.03,0.81,0.31,0.09,1.31,0.03,0.0,9.24,-2.23,0.44,1,26.37
102,WHU,LM,2,9.33,0.0,1.67,0.33,0.0,1.0,0.67,0.33,0.0,0.33,2.0,1.33,1.0,0.67,0.0,0.0,0.0,0.0,1.33,0.0,0.33,1.0,0.0,0.0,8.33,-1.0,0.0,1,17.17
15,AVL,LM,2,9.33,0.22,1.56,0.0,0.56,1.11,1.89,0.33,0.0,0.56,0.78,0.22,2.0,0.0,0.11,0.0,0.0,0.0,1.22,0.22,0.22,2.22,0.0,0.0,8.72,-1.61,0.44,1,28.94
73,MUN,RB,2,9.25,0.06,1.31,0.12,0.12,1.38,0.5,0.25,0.0,0.94,1.06,2.25,1.0,0.44,0.88,0.0,0.0,0.0,1.25,0.31,0.19,1.62,0.0,0.0,9.12,-3.25,0.56,1,24.79
42,CHE,RW,3,9.12,0.25,1.33,0.25,0.67,0.5,1.5,0.33,0.0,0.25,0.58,0.42,1.25,0.08,0.08,0.0,0.0,0.0,1.42,0.17,0.42,2.0,0.33,0.25,6.71,-1.42,0.42,1,31.42
36,CHE,FW,3,9.03,0.47,0.8,0.07,1.2,0.4,1.93,0.53,0.0,0.0,0.2,0.53,1.47,0.07,0.67,0.0,0.0,0.0,1.33,0.27,0.53,2.47,0.8,0.07,6.47,-2.03,0.53,1,29.0
72,MUN,LW,2,9.0,0.14,1.43,0.21,0.57,0.36,1.36,0.21,0.0,0.07,0.29,0.57,1.93,0.07,0.93,0.0,0.07,0.0,1.21,0.29,0.29,1.21,0.07,0.0,7.32,-1.11,0.5,1,24.69
49,LIV,LW,2,9.0,0.29,1.14,0.07,0.71,0.64,1.29,0.07,0.0,0.07,0.21,0.14,1.64,0.0,1.0,0.0,0.0,0.0,0.79,0.36,0.29,1.5,0.64,0.0,6.79,-0.79,0.5,1,21.04
24,BHA,DM,5,8.62,0.08,1.77,0.23,0.46,0.69,0.46,0.15,0.04,0.23,0.69,0.81,0.46,0.27,0.69,0.0,0.0,0.0,1.42,0.19,0.23,1.69,0.0,0.0,7.15,-0.81,0.58,1,19.79
14,AVL,LB,1,8.57,0.0,1.73,0.13,0.2,0.87,0.73,0.33,0.0,1.33,1.13,1.87,0.27,0.0,1.67,0.0,0.0,0.0,1.27,0.27,0.07,2.07,0.13,0.0,9.6,-3.57,0.53,1,26.77
11,AVL,CM,4,8.52,0.15,1.45,0.1,0.3,1.55,0.7,0.35,0.0,0.2,0.95,0.8,0.5,0.35,0.65,0.0,0.0,0.0,1.15,0.25,0.25,2.35,0.05,0.05,7.38,-1.05,0.4,1,26.48
56,MCI,DM,6,8.47,0.2,0.96,0.2,0.56,1.28,0.68,0.32,0.0,0.12,0.64,1.48,0.76,0.28,1.0,0.0,0.04,0.0,1.16,0.24,0.36,2.16,0.16,0.0,7.05,-1.86,0.44,1,22.24
55,MCI,CM,5,8.45,0.07,1.6,0.27,0.4,0.73,0.93,0.2,0.0,0.33,0.27,0.47,0.87,0.27,0.07,0.0,0.0,0.0,1.2,0.33,0.27,2.0,0.13,0.0,6.52,-0.87,0.53,1,31.21
