id,player_id,player_name,season,shotZone,goals,shots,xG,assists,key_passes,xA,npg,npxG,npxG+xA,key_passes+shots,goal_conversion_rate,assist_to_key_pass_ratio
4608,8666,Cheick Oumar Doucoure,2023,shotPenaltyArea,0.0,2.0,0.0940897986292839,0.0,3.0,0.5147345960140228,0.0,0.0940897986292839,0.61,5.0,0.0,0.0
3335,7384,Chris Mepham,2023,shotPenaltyArea,0.0,1.0,0.0895473062992096,0.0,0.0,0.0,0.0,0.0895473062992096,0.09,1.0,0.0,
4890,8040,Marvelous Nakamba,2023,shotPenaltyArea,0.0,2.0,0.08890311419963837,0.0,2.0,0.1320703588426113,0.0,0.08890311419963837,0.22,4.0,0.0,0.0
198,11003,Ryan Yates,2023,shotPenaltyArea,0.0,1.0,0.08479056507349014,0.0,0.0,0.0,0.0,0.08479056507349014,0.08,1.0,0.0,
5170,8067,Reece James,2023,shotPenaltyArea,0.0,2.0,0.08461632207036018,0.0,5.0,1.0183487050235271,0.0,0.08461632207036018,1.1,7.0,0.0,0.0
3247,11703,Anass Zaroury,2023,shotPenaltyArea,0.0,1.0,0.08414456248283386,0.0,1.0,0.03496183082461357,0.0,0.08414456248283386,0.12,2.0,0.0,0.0
2240,10756,Joe Worrall,2023,shotPenaltyArea,0.0,2.0,0.08149256184697151,0.0,1.0,0.022981125861406326,0.0,0.08149256184697151,0.1,3.0,0.0,0.0
679,10872,Vinicius Souza,2023,shotPenaltyArea,0.0,1.0,0.08117422461509705,0.0,1.0,0.04274601489305496,0.0,0.08117422461509705,0.12,2.0,0.0,0.0
2008,987,Joseph Gomez,2023,shotPenaltyArea,0.0,3.0,0.07829490024596453,0.0,3.0,0.1995840929448605,0.0,0.07829490024596453,0.28,6.0,0.0,0.0
5315,8942,Aaron Hickey,2023,shotPenaltyArea,0.0,1.0,0.07729590684175491,0.0,1.0,0.04746435210108757,0.0,0.07729590684175491,0.12,2.0,0.0,0.0
2064,11709,Milos Kerkez,2023,shotPenaltyArea,0.0,1.0,0.07475359737873077,0.0,1.0,0.03189890831708908,0.0,0.07475359737873077,0.11,2.0,0.0,0.0
526,7277,Ryan John Giles,2023,shotPenaltyArea,0.0,1.0,0.07363187521696091,0.0,3.0,0.12249366380274296,0.0,0.07363187521696091,0.2,4.0,0.0,0.0
1242,10527,Carlos Baleba,2023,shotPenaltyArea,0.0,1.0,0.07322923839092255,0.0,1.0,0.05960940569639206,0.0,0.07322923839092255,0.13,2.0,0.0,0.0
332,11487,Michael Olakigbe,2023,shotPenaltyArea,0.0,2.0,0.07233063317835331,0.0,0.0,0.0,0.0,0.07233063317835331,0.07,2.0,0.0,
1288,8719,Kalvin Phillips,2023,shotPenaltyArea,0.0,1.0,0.0721239447593689,0.0,0.0,0.0,0.0,0.0721239447593689,0.07,1.0,0.0,
3689,8859,Mikkel Damsgaard,2023,shotPenaltyArea,0.0,1.0,0.07185065001249313,0.0,0.0,0.0,0.0,0.07185065001249313,0.07,1.0,0.0,
419,12152,Matheus Franca,2023,shotPenaltyArea,0.0,1.0,0.0706448033452034,0.0,3.0,0.20900252740830183,0.0,0.0706448033452034,0.28,4.0,0.0,0.0
2524,2328,Thomas Partey,2023,shotPenaltyArea,0.0,1.0,0.0701504796743393,0.0,3.0,0.12622319161891937,0.0,0.0701504796743393,0.2,4.0,0.0,0.0
3371,9356,Carney Chukwuemeka,2023,shotPenaltyArea,1.0,1.0,0.06899454444646835,0.0,1.0,0.07502813637256622,1.0,0.06899454444646835,0.14,2.0,1.0,0.0
1573,6888,William Saliba,2023,shotPenaltyArea,0.0,1.0,0.06650194525718689,0.0,1.0,0.042633067816495895,0.0,0.06650194525718689,0.11,2.0,0.0,0.0
1944,9790,Josko Gvardiol,2023,shotPenaltyArea,0.0,1.0,0.06633342057466507,0.0,2.0,0.4342258758842945,0.0,0.06633342057466507,0.5,3.0,0.0,0.0
