minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
90+2,Callum Wilson,Newcastle Utd,0.03,0.2,Saved,32.0,Right Foot,,Jacob Murphy,Pass (Live),,
90+4,Douglas Luiz,Aston Villa,0.03,0.35,Saved,21.0,Right Foot,Free kick,Lucas Digne,Fouled,Philippe Coutinho,Pass (Live)
90+5,Diego Carlos,Aston Villa,0.21,0.24,Saved,2.0,Head,,Douglas Luiz,Pass (Dead),Douglas Luiz,Shot
9.0,William Osula,Sheffield Utd,0.02,,Blocked,23.0,Left Foot,,,,,
14.0,Odsonne Edouard,Crystal Palace,0.04,,Blocked,12.0,Left Foot,,Odsonne Édouard,Take-On,Cheick Doucouré,Pass (Live)
17.0,Eberechi Eze,Crystal Palace,0.02,,Blocked,30.0,Left Foot,,Cheick Doucouré,Pass (Live),Jefferson Lerma,Pass (Live)
17.0,Eberechi Eze,Crystal Palace,0.11,,Blocked,12.0,Right Foot,,Eberechi Eze,Shot,,
20.0,Odsonne Edouard,Crystal Palace,0.06,0.43,Saved,16.0,Right Foot,,Joachim Andersen,Pass (Live),Jefferson Lerma,Pass (Live)
22.0,Joachim Andersen,Crystal Palace,0.02,0.19,Saved,36.0,Right Foot,,Cheick Doucouré,Pass (Live),Tyrick Mitchell,Pass (Dead)
24.0,Odsonne Edouard,Crystal Palace,0.03,,Off Target,16.0,Right Foot,Volley,Eberechi Eze,Pass (Dead),Eberechi Eze,Pass (Live)
27.0,John Egan,Sheffield Utd,0.04,,Off Target,10.0,Head,,Oliver Norwood,Pass (Dead),Oliver Norwood,Pass (Live)
29.0,Jeffrey Schlupp,Crystal Palace,0.02,,Off Target,29.0,Left Foot,,Marc Guéhi,Pass (Live),Joachim Andersen,Pass (Live)
30.0,Cheick Doucoure,Crystal Palace,0.01,0.19,Saved,32.0,Right Foot,"Deflected, Volley",Jeffrey Schlupp,Shot,,
31.0,Eberechi Eze,Crystal Palace,0.06,,Blocked,17.0,Right Foot,,Odsonne Édouard,Pass (Live),Joachim Andersen,Pass (Live)
31.0,Jordan Ayew,Crystal Palace,0.06,,Blocked,16.0,Right Foot,,Cheick Doucouré,Pass (Live),Eberechi Eze,Shot
32.0,Marc Guehi,Crystal Palace,0.03,,Off Target,12.0,Head,,Eberechi Eze,Pass (Dead),Jordan Ayew,Shot
32.0,Odsonne Edouard,Crystal Palace,0.05,,Off Target,5.0,Head,,Marc Guéhi,Shot,,
34.0,Anel Ahmedhodzic,Sheffield Utd,0.04,,Off Target,10.0,Head,,Oliver Norwood,Pass (Dead),George Baldock,Take-On
39.0,Eberechi Eze,Crystal Palace,0.0,,Blocked,34.0,Right Foot,,Jefferson Lerma,Pass (Live),Eberechi Eze,Pass (Dead)
44.0,Oliver Norwood,Sheffield Utd,0.02,0.05,Saved,34.0,Right Foot,,Max Lowe,Pass (Live),Anel Ahmedhodžić,Pass (Live)
45.0,Eberechi Eze,Crystal Palace,0.03,,Off Target,18.0,Left Foot,,Jeffrey Schlupp,Pass (Live),Joachim Andersen,Pass (Live)
49.0,Odsonne Edouard,Crystal Palace,0.64,0.81,Goal,4.0,Left Foot,Volley,Jordan Ayew,Pass (Live),Jefferson Lerma,Pass (Live)
54.0,Eberechi Eze,Crystal Palace,0.03,,Blocked,30.0,Right Foot,Free kick,Eberechi Eze,Fouled,Odsonne Édouard,Pass (Live)
60.0,Odsonne Edouard,Crystal Palace,0.01,,Off Target,16.0,Head,,Jeffrey Schlupp,Pass (Live),Eberechi Eze,Pass (Dead)
61.0,Odsonne Edouard,Crystal Palace,0.18,0.07,Saved,7.0,Head,,Eberechi Eze,Pass (Dead),Jordan Ayew,Fouled
