minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent
88.0,James Tarkowski,Everton,0.12,,Blocked,5.0,Head,,Dwight McNeil,Pass (Dead),Abdoulaye Doucouré,Pass (Live),Brighton
89.0,Vitaliy Mykolenko,Everton,0.01,,Blocked,28.0,Left Foot,,Vitaliy Mykolenko,Pass (Live),Idrissa Gana Gueye,Pass (Live),Brighton
90.0,James Tarkowski,Everton,0.03,0.07,Saved,8.0,Head,,James Garner,Pass (Dead),Dwight McNeil,Pass (Live),Brighton
16,Willian,Fulham,0.12,,Blocked,16.0,Right Foot,,Willian,Take-On,Andreas Pereira,Pass (Live),Manchester Utd
22,Willian,Fulham,0.02,,Blocked,11.0,Left Foot,,João Palhinha,Pass (Dead),Rodrigo Muniz,Fouled,Manchester Utd
23,Harry Wilson,Fulham,0.02,,Off Target,24.0,Left Foot,Volley,Willian,Shot,,,Manchester Utd
27,Scott McTominay,Manchester Utd,0.07,,Blocked,13.0,Left Foot,,Alejandro Garnacho,Pass (Live),Bruno Fernandes,Pass (Live),Fulham
31,Harry Wilson,Fulham,0.06,,Blocked,29.0,Left Foot,,Alex Iwobi,Pass (Live),,,Manchester Utd
32,Jonny Evans,Manchester Utd,0.06,,Off Target,5.0,Right Foot,Volley,Antony,Fouled,Rasmus Højlund,Pass (Live),Fulham
33,Bruno Fernandes,Manchester Utd,0.06,0.35,Saved,22.0,Right Foot,,Rasmus Højlund,Pass (Live),Alejandro Garnacho,Pass (Live),Fulham
38,Christian Eriksen,Manchester Utd,0.02,,Blocked,27.0,Left Foot,,Bruno Fernandes,Pass (Live),Antony,Pass (Live),Fulham
38,Alex Iwobi,Fulham,0.1,,Off Target,22.0,Right Foot,,,,,,Manchester Utd
40,Diogo Dalot,Manchester Utd,0.02,,Off Target,23.0,Right Foot,Volley,Antony,Pass (Live),Bruno Fernandes,Pass (Live),Fulham
44,Alex Iwobi,Fulham,0.01,,Blocked,14.0,Left Foot,,Andreas Pereira,Pass (Dead),Antonee Robinson,Pass (Live),Manchester Utd
45+1,Willian,Fulham,0.03,,Off Target,24.0,Right Foot,,Willian,Take-On,Andreas Pereira,Pass (Live),Manchester Utd
45+3,Rodrigo Muniz,Fulham,0.03,,Off Target,10.0,Head,,Andreas Pereira,Pass (Dead),Alex Iwobi,Pass (Live),Manchester Utd
48,Alejandro Garnacho,Manchester Utd,0.06,0.06,Saved,14.0,Right Foot,Deflected,Diogo Dalot,Pass (Live),Antony,Pass (Live),Fulham
58,Willian,Fulham,0.06,,Blocked,18.0,Left Foot,,Harry Wilson,Pass (Live),Alex Iwobi,Pass (Live),Manchester Utd
58,Willian,Fulham,0.04,,Off Target,27.0,Right Foot,,Rodrigo Muniz,Pass (Live),Antonee Robinson,Pass (Live),Manchester Utd
61,Harry Wilson,Fulham,0.03,0.2,Saved,23.0,Left Foot,,Alex Iwobi,Pass (Live),Alex Iwobi,Take-On,Manchester Utd
61,Andreas Pereira,Fulham,0.08,,Blocked,5.0,Head,,Harry Wilson,Shot,,,Manchester Utd
61,Joao Palhinha,Fulham,0.15,0.1,Saved,12.0,Right Foot,,Willian,Pass (Live),Andreas Pereira,Pass (Live),Manchester Utd
63,Calvin Bassey,Fulham,0.05,,Blocked,12.0,Right Foot,"Deflected, Volley",Andreas Pereira,Pass (Dead),Harry Wilson,Pass (Live),Manchester Utd
65,Rodrigo Muniz,Fulham,0.04,,Off Target,11.0,Head,,Andreas Pereira,Pass (Dead),Tim Ream,Pass (Live),Manchester Utd
71,Facundo Pellistri,Manchester Utd,0.04,0.26,Saved,14.0,Left Foot,,Christian Eriksen,Pass (Live),Alejandro Garnacho,Pass (Live),Fulham
73,Alex Iwobi,Fulham,0.05,,Off Target,25.0,Left Foot,,Andreas Pereira,Pass (Live),Willian,Pass (Live),Manchester Utd
78,Diogo Dalot,Manchester Utd,0.03,,Off Target,23.0,Right Foot,,Bruno Fernandes,Pass (Dead),Diogo Dalot,Pass (Live),Fulham
83,Bruno Fernandes,Manchester Utd,0.04,0.18,Saved,31.0,Right Foot,Free kick,Alejandro Garnacho,Fouled,Alejandro Garnacho,Take-On,Fulham
84,Anthony Martial,Manchester Utd,0.16,,Off Target,8.0,Left Foot,Volley,Diogo Dalot,Pass (Live),Alejandro Garnacho,Pass (Live),Fulham
89,Harry Wilson,Fulham,0.06,,Off Target,25.0,Left Foot,Free kick,Harry Wilson,Fouled,Alex Iwobi,Pass (Live),Manchester Utd
90+1,Bruno Fernandes,Manchester Utd,0.09,0.42,Goal,18.0,Right Foot,,Bruno Fernandes,Take-On,Bruno Fernandes,Take-On,Fulham
90+2,Joao Palhinha,Fulham,0.05,,Blocked,26.0,Right Foot,,Tom Cairney,Pass (Dead),,,Manchester Utd
90+7,Diogo Dalot,Manchester Utd,0.04,,Off Target,22.0,Right Foot,,Bruno Fernandes,Pass (Live),Anthony Martial,Pass (Live),Fulham
5,Julian Alvarez,Manchester City,0.02,,Off Target,28.0,Right Foot,,Nathan Aké,Pass (Live),Julián Álvarez,Pass (Live),Bournemouth
11,Bernardo Silva,Manchester City,0.03,,Off Target,24.0,Left Foot,,Julián Álvarez,Pass (Dead),Jeremy Doku,Pass (Live),Bournemouth
14,Rodri,Manchester City,0.04,0.19,Saved,24.0,Right Foot,,Julián Álvarez,Pass (Live),Bernardo Silva,Pass (Live),Bournemouth
18,Rodri,Manchester City,0.02,,Off Target,28.0,Right Foot,,Jeremy Doku,Pass (Live),Rodri,Pass (Live),Bournemouth
19,Jeremy Doku,Manchester City,0.04,,Blocked,9.0,Right Foot,,Jeremy Doku,Take-On,Nathan Aké,Pass (Live),Bournemouth
22,Erling Haaland,Manchester City,0.18,,Blocked,4.0,Head,,Julián Álvarez,Pass (Live),Bernardo Silva,Pass (Live),Bournemouth
25,Erling Haaland,Manchester City,0.08,,Blocked,10.0,Right Foot,,Erling Haaland,Take-On,,,Bournemouth
27,Julian Alvarez,Manchester City,0.05,,Blocked,24.0,Right Foot,,Bernardo Silva,Pass (Live),Erling Haaland,Pass (Live),Bournemouth
28,Bernardo Silva,Manchester City,0.02,,Off Target,26.0,Left Foot,,Mateo Kovačić,Pass (Live),Julián Álvarez,Pass (Dead),Bournemouth
30,Jeremy Doku,Manchester City,0.06,0.09,Goal,17.0,Right Foot,Deflected,Rodri,Pass (Live),Jeremy Doku,Pass (Live),Bournemouth
33,Bernardo Silva,Manchester City,0.16,0.32,Goal,12.0,Left Foot,,Jeremy Doku,Pass (Live),Kyle Walker,Pass (Live),Bournemouth
37,Jeremy Doku,Manchester City,0.02,,Off Target,23.0,Left Foot,,Bernardo Silva,Pass (Live),Mateo Kovačić,Pass (Live),Bournemouth
37,Manuel Akanji,Manchester City,0.01,0.38,Goal,13.0,Other,,Jeremy Doku,Shot,,,Bournemouth
41,Alex Scott,Bournemouth,0.04,,Blocked,16.0,Right Foot,,,,,,Manchester City
41,Dominic Solanke,Bournemouth,0.29,,Off Target,9.0,Head,,Max Aarons,Pass (Live),Alex Scott,Shot,Manchester City
45+3,Erling Haaland,Manchester City,0.17,,Blocked,10.0,Left Foot,,Julián Álvarez,Pass (Live),Jeremy Doku,Pass (Live),Bournemouth
45+3,Kyle Walker,Manchester City,0.03,,Blocked,27.0,Right Foot,,Bernardo Silva,Pass (Live),Jeremy Doku,Pass (Live),Bournemouth
58,Mateo Kovacic,Manchester City,0.06,,Off Target,12.0,Right Foot,,Manuel Akanji,Pass (Live),Jeremy Doku,Pass (Live),Bournemouth
59,Phil Foden,Manchester City,0.03,,Blocked,22.0,Left Foot,,Rodri,Pass (Live),Bernardo Silva,Pass (Live),Bournemouth
61,Dominic Solanke,Bournemouth,0.13,,Woodwork,17.0,Left Foot,,Philip Billing,Pass (Live),Ryan Christie,Pass (Live),Manchester City
64,Phil Foden,Manchester City,0.13,0.05,Goal,10.0,Left Foot,,Jeremy Doku,Pass (Live),Phil Foden,Pass (Live),Bournemouth
74,Luis Sinisterra,Bournemouth,0.28,0.48,Goal,10.0,Right Foot,,Max Aarons,Pass (Live),Lloyd Kelly,Pass (Live),Manchester City
81,Dominic Solanke,Bournemouth,0.17,,Off Target,5.0,Head,,Joe Rothwell,Pass (Dead),Dominic Solanke,Pass (Live),Manchester City
83,Bernardo Silva,Manchester City,0.26,0.22,Goal,6.0,Left Foot,,Bernardo Silva,Take-On,Jeremy Doku,Pass (Live),Bournemouth
88,Nathan Ake,Manchester City,0.28,0.84,Goal,4.0,Head,,Oscar Bobb,Pass (Live),Matheus Nunes,Pass (Live),Bournemouth
90+8,Mateo Kovacic,Manchester City,0.27,0.55,Saved,13.0,Right Foot,,Mateo Kovačić,Take-On,Oscar Bobb,Pass (Live),Bournemouth
14,Takehiro Tomiyasu,Arsenal,0.01,,Blocked,23.0,Right Foot,,,,,,Newcastle Utd
15,Gabriel Martinelli,Arsenal,0.02,,Blocked,30.0,Right Foot,,Jorginho,Pass (Live),Declan Rice,Pass (Live),Newcastle Utd
19,Bukayo Saka,Arsenal,0.02,,Blocked,24.0,Left Foot,,Eddie Nketiah,Pass (Live),Declan Rice,Pass (Live),Newcastle Utd
20,Jorginho,Arsenal,0.03,,Blocked,21.0,Right Foot,Volley,Bukayo Saka,Pass (Dead),Declan Rice,Pass (Live),Newcastle Utd
21,William Saliba,Arsenal,0.02,,Blocked,33.0,Right Foot,,Gabriel Martinelli,Pass (Live),Jorginho,Pass (Live),Newcastle Utd
22,Jorginho,Arsenal,0.02,,Off Target,25.0,Right Foot,Volley,William Saliba,Shot,,,Newcastle Utd
23,Eddie Nketiah,Arsenal,0.15,,Off Target,6.0,Head,,Gabriel Martinelli,Pass (Live),Declan Rice,Pass (Live),Newcastle Utd
35,Fabian Schar,Newcastle Utd,0.01,,Blocked,25.0,Right Foot,,Bruno Guimarães,Pass (Live),Anthony Gordon,Pass (Live),Arsenal
41,Jamaal Lascelles,Newcastle Utd,0.09,,Off Target,9.0,Head,,Kieran Trippier,Pass (Live),Miguel Almirón,Pass (Live),Arsenal
45,Joelinton,Newcastle Utd,0.03,,Blocked,26.0,Right Foot,,Bruno Guimarães,Pass (Live),Kieran Trippier,Pass (Live),Arsenal
45,Bruno Guimaraes,Newcastle Utd,0.02,,Off Target,26.0,Right Foot,,Anthony Gordon,Pass (Live),Joelinton,Shot,Arsenal
45+2,Gabriel Martinelli,Arsenal,0.1,0.15,Saved,15.0,Right Foot,,Gabriel Martinelli,Take-On,Declan Rice,Pass (Live),Newcastle Utd
49,Declan Rice,Arsenal,0.05,,Blocked,10.0,Head,,Ben White,Pass (Live),Jorginho,Pass (Live),Newcastle Utd
54,Anthony Gordon,Newcastle Utd,0.05,,Blocked,12.0,Left Foot,,Miguel Almirón,Pass (Live),Miguel Almirón,Take-On,Arsenal
56,Gabriel Martinelli,Arsenal,0.01,,Off Target,23.0,Right Foot,Volley,Bukayo Saka,Pass (Live),Ben White,Pass (Dead),Newcastle Utd
56,Kai Havertz,Arsenal,0.08,,Blocked,17.0,Left Foot,,Gabriel Martinelli,Shot,,,Newcastle Utd
62,Declan Rice,Arsenal,0.02,,Off Target,16.0,Head,,Declan Rice,Pass (Live),Takehiro Tomiyasu,Pass (Live),Newcastle Utd
63,Jacob Murphy,Newcastle Utd,0.04,,Off Target,13.0,Right Foot,,Joelinton,Pass (Live),Fabian Schär,Pass (Live),Arsenal
64,Joelinton,Newcastle Utd,0.3,,Blocked,3.0,Head,,Joe Willock,Pass (Live),Jacob Murphy,Shot,Arsenal
64,Anthony Gordon,Newcastle Utd,0.68,0.94,Goal,3.0,Right Foot,,Joelinton,Shot,,,Arsenal
78,Jacob Murphy,Newcastle Utd,0.01,,Blocked,51.0,Right Foot,,Bruno Guimarães,Pass (Live),Anthony Gordon,Pass (Live),Arsenal
87,Leandro Trossard,Arsenal,0.02,,Blocked,21.0,Right Foot,,Gabriel Martinelli,Pass (Live),Fabio Vieira,Pass (Live),Newcastle Utd
90+7,Leandro Trossard,Arsenal,0.01,,Blocked,26.0,Left Foot,,Oleksandr Zinchenko,Pass (Live),Leandro Trossard,Pass (Live),Newcastle Utd
11,Nelson Semedo,Wolves,0.02,,Off Target,21.0,Right Foot,,Hwang Hee-chan,Pass (Live),Nélson Semedo,Pass (Live),Sheffield Utd
20,Oliver Norwood,Sheffield Utd,0.01,,Blocked,31.0,Right Foot,Volley,Vinicius Souza,Pass (Live),Luke Thomas,Pass (Live),Wolves
25,Matheus Cunha,Wolves,0.05,0.05,Saved,18.0,Right Foot,,Hwang Hee-chan,Pass (Live),Sasa Kalajdzic,Pass (Live),Sheffield Utd
26,Rayan Ait Nouri,Wolves,0.02,,Blocked,26.0,Left Foot,,Max Kilman,Pass (Live),Mario Lemina,Pass (Live),Sheffield Utd
27,Tommy Doyle,Wolves,0.04,,Off Target,32.0,Right Foot,Free kick,Hwang Hee-chan,Fouled,Rayan Aït Nouri,Shot,Sheffield Utd
32,Hwang Hee-chan,Wolves,0.26,,Off Target,10.0,Left Foot,,Hwang Hee-chan,Take-On,Hwang Hee-chan,Take-On,Sheffield Utd
32,Rayan Ait Nouri,Wolves,0.55,,Off Target,10.0,Left Foot,,Hwang Hee-chan,Shot,,,Sheffield Utd
42,Tommy Doyle,Wolves,0.02,,Blocked,28.0,Right Foot,,Matheus Cunha,Pass (Live),Craig Dawson,Pass (Live),Sheffield Utd
46,Cameron Archer,Sheffield Utd,0.02,,Off Target,25.0,Right Foot,,Gustavo Hamer,Pass (Live),Oliver Norwood,Pass (Live),Wolves
50,James Mcatee,Sheffield Utd,0.05,,Off Target,23.0,Left Foot,Free kick,James Mcatee,Fouled,Jayden Bogle,Pass (Live),Wolves
51,Gustavo Hamer,Sheffield Utd,0.03,,Off Target,29.0,Right Foot,,Luke Thomas,Pass (Live),Oliver Norwood,Pass (Live),Wolves
66,Oliver Norwood,Sheffield Utd,0.01,,Off Target,30.0,Right Foot,,James Mcatee,Pass (Live),Gustavo Hamer,Pass (Live),Wolves
72,Cameron Archer,Sheffield Utd,0.03,0.19,Goal,26.0,Right Foot,,,,,,Wolves
80,Mario Lemina,Wolves,0.18,0.91,Saved,4.0,Other,,Rayan Aït Nouri,Pass (Dead),Matheus Cunha,Pass (Live),Sheffield Utd
83,Jayden Bogle,Sheffield Utd,0.03,,Blocked,18.0,Right Foot,,Cameron Archer,Pass (Live),Cameron Archer,Take-On,Wolves
85,Oliver Norwood,Sheffield Utd,0.01,,Off Target,58.0,Right Foot,,,,,,Wolves
86,Mario Lemina,Wolves,0.1,,Off Target,8.0,Head,,Jean-Ricner Bellegarde,Pass (Dead),Max Kilman,Pass (Live),Sheffield Utd
89,Jean-Ricner Bellegarde,Wolves,0.1,0.44,Goal,19.0,Right Foot,Deflected,Hwang Hee-chan,Pass (Live),Boubacar Traoré,Pass (Live),Sheffield Utd
90+4,James Mcatee,Sheffield Utd,0.05,,Blocked,15.0,Left Foot,,James Mcatee,Pass (Live),,,Wolves
90+4,Jayden Bogle,Sheffield Utd,0.01,,Off Target,9.0,Head,,Oliver Norwood,Pass (Live),Luke Thomas,Pass (Live),Wolves
90+10,Oliver Norwood (pen),Sheffield Utd,0.79,1.0,Goal,13.0,Right Foot,,George Baldock,Fouled,,,Wolves
5,Ross Barkley,Luton Town,0.02,0.15,Saved,24.0,Right Foot,,Alfie Doughty,Pass (Dead),,,Liverpool
5,Darwin Nunez,Liverpool,0.02,0.5,Saved,27.0,Right Foot,,Joe Gomez,Pass (Live),Ryan Gravenberch,Pass (Live),Luton Town
6,Joe Gomez,Liverpool,0.11,,Off Target,9.0,Right Foot,Volley,Darwin Núñez,Shot,,,Luton Town
7,Carlton Morris,Luton Town,0.06,,Blocked,19.0,Right Foot,,Tom Lockyer,Tackle,,,Liverpool
10,Darwin Nunez,Liverpool,0.03,,Off Target,27.0,Right Foot,,Diogo Jota,Pass (Live),,,Luton Town
13,Darwin Nunez,Liverpool,0.19,,Woodwork,12.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Virgil van Dijk,Pass (Live),Luton Town
15,Issa Kabore,Luton Town,0.07,,Off Target,12.0,Right Foot,,Chiedozie Ogbene,Take-On,Alfie Doughty,Pass (Live),Liverpool
16,Darwin Nunez,Liverpool,0.01,0.42,Saved,27.0,Right Foot,,Ryan Gravenberch,Pass (Live),Mohamed Salah,Pass (Live),Luton Town
21,Mohamed Salah,Liverpool,0.11,,Off Target,17.0,Left Foot,,Joe Gomez,Fouled,Trent Alexander-Arnold,Pass (Live),Luton Town
24,Darwin Nunez,Liverpool,0.03,,Off Target,11.0,Head,,Mohamed Salah,Pass (Live),Diogo Jota,Pass (Live),Luton Town
33,Diogo Jota,Liverpool,0.26,0.65,Saved,12.0,Right Foot,,Ryan Gravenberch,Pass (Live),Joe Gomez,Pass (Live),Luton Town
34,Darwin Nunez,Liverpool,0.02,,Blocked,10.0,Head,,Trent Alexander-Arnold,Pass (Live),Ibrahima Konaté,Pass (Live),Luton Town
36,Trent Alexander-Arnold,Liverpool,0.04,,Blocked,22.0,Right Foot,Volley,Dominik Szoboszlai,Pass (Dead),Darwin Núñez,Shot,Luton Town
41,Ross Barkley,Luton Town,0.03,,Off Target,27.0,Right Foot,,,,,,Liverpool
45,Diogo Jota,Liverpool,0.01,,Off Target,14.0,Head,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Dead),Luton Town
53,Chiedozie Ogbene,Luton Town,0.03,0.03,Saved,26.0,Right Foot,,Carlton Morris,Pass (Live),Marvelous Nakamba,Pass (Live),Liverpool
57,Dominik Szoboszlai,Liverpool,0.02,,Blocked,33.0,Right Foot,,Darwin Núñez,Pass (Live),Alexis Mac Allister,Pass (Live),Luton Town
63,Trent Alexander-Arnold,Liverpool,0.01,,Off Target,41.0,Right Foot,,Joe Gomez,Pass (Live),Trent Alexander-Arnold,Pass (Live),Luton Town
65,Carlton Morris,Luton Town,0.17,0.43,Saved,11.0,Left Foot,,Chiedozie Ogbene,Take-On,Chiedozie Ogbene,Take-On,Liverpool
68,Darwin Nunez,Liverpool,0.03,,Blocked,25.0,Right Foot,Volley,Trent Alexander-Arnold,Pass (Live),Virgil van Dijk,Pass (Live),Luton Town
68,Cody Gakpo,Liverpool,0.57,,Off Target,6.0,Right Foot,Volley,Harvey Elliott,Pass (Live),Ibrahima Konaté,Pass (Live),Luton Town
70,Mohamed Salah,Liverpool,0.51,,Off Target,4.0,Head,,Trent Alexander-Arnold,Pass (Live),Kostas Tsimikas,Pass (Live),Luton Town
70,Darwin Nunez,Liverpool,0.48,,Off Target,5.0,Right Foot,,Mohamed Salah,Shot,,,Luton Town
72,Darwin Nunez,Liverpool,0.07,0.49,Saved,16.0,Right Foot,,Mohamed Salah,Pass (Live),Harvey Elliott,Pass (Live),Luton Town
73,Harvey Elliott,Liverpool,0.02,,Blocked,25.0,Left Foot,,Darwin Núñez,Shot,,,Luton Town
78,Cody Gakpo,Liverpool,0.02,,Blocked,18.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Kostas Tsimikas,Pass (Live),Luton Town
79,Ryan Gravenberch,Liverpool,0.02,0.29,Saved,29.0,Left Foot,,Alexis Mac Allister,Pass (Live),Ibrahima Konaté,Pass (Live),Luton Town
80,Virgil van Dijk,Liverpool,0.07,,Off Target,10.0,Head,,Trent Alexander-Arnold,Pass (Dead),Ryan Gravenberch,Shot,Luton Town
80,Tahith Chong,Luton Town,0.42,0.48,Goal,10.0,Left Foot,,Issa Kaboré,Pass (Live),Ross Barkley,Pass (Live),Liverpool
86,Ibrahima Konate,Liverpool,0.02,,Off Target,14.0,Head,,Kostas Tsimikas,Pass (Live),Alexis Mac Allister,Pass (Live),Luton Town
90+5,Luis Diaz,Liverpool,0.15,0.07,Goal,7.0,Other,,Harvey Elliott,Pass (Live),Ibrahima Konaté,Pass (Live),Luton Town
90+10,Issa Kabore,Luton Town,0.02,0.14,Saved,14.0,Right Foot,,,,,,Liverpool
3,Nicolas Dominguez,Nott'ham Forest,0.01,,Off Target,28.0,Right Foot,,Ibrahim Sangaré,Pass (Live),Taiwo Awoniyi,Pass (Live),Aston Villa
5,Ola Aina,Nott'ham Forest,0.05,0.43,Goal,24.0,Right Foot,,Harry Toffolo,Pass (Live),Anthony Elanga,Pass (Live),Aston Villa
15,Nicolo Zaniolo,Aston Villa,0.14,,Off Target,10.0,Head,,Matty Cash,Pass (Live),John McGinn,Pass (Live),Nott'ham Forest
26,Lucas Digne,Aston Villa,0.03,,Blocked,10.0,Left Foot,,John McGinn,Pass (Live),Matty Cash,Pass (Live),Nott'ham Forest
36,Nicolo Zaniolo,Aston Villa,0.07,0.14,Saved,10.0,Left Foot,,Moussa Diaby,Pass (Live),Nicolò Zaniolo,Pass (Live),Nott'ham Forest
39,Nicolas Dominguez,Nott'ham Forest,0.22,,Off Target,14.0,Right Foot,,Ola Aina,Pass (Live),Ibrahim Sangaré,Pass (Live),Aston Villa
45+3,Matty Cash,Aston Villa,0.13,,Blocked,9.0,Head,,Lucas Digne,Pass (Live),Nicolò Zaniolo,Pass (Live),Nott'ham Forest
46,Ollie Watkins,Aston Villa,0.02,0.2,Saved,15.0,Left Foot,,Lucas Digne,Pass (Live),Pau Torres,Pass (Live),Nott'ham Forest
47,Orel Mangala,Nott'ham Forest,0.03,0.02,Goal,29.0,Right Foot,,Harry Toffolo,Pass (Live),Taiwo Awoniyi,Pass (Live),Aston Villa
50,Nicolas Dominguez,Nott'ham Forest,0.07,0.22,Saved,10.0,Right Foot,,Nicolás Domínguez,Pass (Live),Taiwo Awoniyi,Pass (Live),Aston Villa
55,Ollie Watkins,Aston Villa,0.28,,Off Target,10.0,Head,,John McGinn,Pass (Live),Ollie Watkins,Pass (Live),Nott'ham Forest
58,Douglas Luiz,Aston Villa,0.02,,Blocked,36.0,Right Foot,,Boubacar Kamara,Pass (Live),Douglas Luiz,Pass (Live),Nott'ham Forest
59,Leon Bailey,Aston Villa,0.07,,Off Target,13.0,Left Foot,,Moussa Diaby,Pass (Live),Lucas Digne,Pass (Live),Nott'ham Forest
68,Moussa Diaby,Aston Villa,0.05,0.34,Saved,18.0,Left Foot,,Leon Bailey,Pass (Live),Lucas Digne,Pass (Live),Nott'ham Forest
68,Leon Bailey,Aston Villa,0.24,,Off Target,5.0,Head,,Lucas Digne,Pass (Live),John McGinn,Pass (Live),Nott'ham Forest
70,Youri Tielemans,Aston Villa,0.06,,Off Target,25.0,Right Foot,,Moussa Diaby,Pass (Live),Lucas Digne,Pass (Live),Nott'ham Forest
77,Leon Bailey,Aston Villa,0.02,,Off Target,12.0,Head,,Lucas Digne,Pass (Live),Douglas Luiz,Pass (Live),Nott'ham Forest
85,John McGinn,Aston Villa,0.11,,Blocked,9.0,Right Foot,,Moussa Diaby,Pass (Live),Youri Tielemans,Pass (Live),Nott'ham Forest
5,Son Heung-min,Tottenham,0.06,0.09,Saved,16.0,Right Foot,,Pape Matar Sarr,Pass (Live),James Maddison,Pass (Live),Chelsea
6,Dejan Kulusevski,Tottenham,0.07,0.07,Goal,17.0,Left Foot,Deflected,Pape Matar Sarr,Pass (Live),James Maddison,Pass (Live),Chelsea
7,Pedro Porro,Tottenham,0.03,0.19,Saved,21.0,Left Foot,Volley,Brennan Johnson,Pass (Live),Yves Bissouma,Pass (Live),Chelsea
11,Nicolas Jackson,Chelsea,0.22,0.46,Saved,10.0,Right Foot,,Nicolas Jackson,Take-On,Raheem Sterling,Pass (Live),Tottenham
12,Axel Disasi,Chelsea,0.02,,Off Target,15.0,Head,,Conor Gallagher,Pass (Dead),Nicolas Jackson,Shot,Tottenham
21,Raheem Sterling,Chelsea,0.03,,Blocked,17.0,Right Foot,,Reece James,Pass (Live),Enzo Fernández,Pass (Live),Tottenham
25,Enzo Fernandez,Chelsea,0.03,,Off Target,31.0,Right Foot,,Moisés Caicedo,Pass (Live),Cole Palmer,Pass (Live),Tottenham
27,Thiago Silva,Chelsea,0.03,,Off Target,19.0,Right Foot,,Moisés Caicedo,Fouled,Reece James,Pass (Live),Tottenham
27,Enzo Fernandez,Chelsea,0.01,,Off Target,31.0,Right Foot,,Conor Gallagher,Pass (Live),,,Tottenham
35,Cole Palmer (pen),Chelsea,0.79,0.99,Goal,13.0,Left Foot,,Enzo Fernández,Fouled,Nicolas Jackson,Pass (Live),Tottenham
40,Pape Matar Sarr,Tottenham,0.02,,Blocked,34.0,Right Foot,,Pape Matar Sarr,Tackle,,,Chelsea
47,Cole Palmer,Chelsea,0.04,,Off Target,21.0,Left Foot,,Conor Gallagher,Pass (Live),Enzo Fernández,Pass (Live),Tottenham
51,Raheem Sterling,Chelsea,0.02,0.46,Saved,21.0,Right Foot,Deflected,Marc Cucurella,Pass (Live),Moisés Caicedo,Pass (Live),Tottenham
54,Raheem Sterling,Chelsea,0.04,,Blocked,16.0,Right Foot,,Raheem Sterling,Take-On,Enzo Fernández,Pass (Live),Tottenham
54,Yves Bissouma,Tottenham,0.08,,Blocked,16.0,Right Foot,,Yves Bissouma,Take-On,Dejan Kulusevski,Pass (Live),Chelsea
56,Nicolas Jackson,Chelsea,0.31,,Blocked,4.0,Head,,,,,,Tottenham
60,Reece James,Chelsea,0.03,,Off Target,16.0,Right Foot,,Conor Gallagher,Pass (Live),Mykhailo Mudryk,Pass (Live),Tottenham
68,Marc Cucurella,Chelsea,0.19,0.62,Saved,11.0,Right Foot,,Marc Cucurella,Take-On,Reece James,Pass (Live),Tottenham
75,Nicolas Jackson,Chelsea,0.72,0.78,Goal,11.0,Left Foot,,Raheem Sterling,Pass (Live),Reece James,Pass (Live),Tottenham
82,Pierre Hojbjerg,Tottenham,0.01,0.03,Saved,63.0,Right Foot,Free kick,Emerson,Fouled,Emerson,Tackle,Chelsea
86,Rodrigo Bentancur,Tottenham,0.49,,Off Target,4.0,Head,,Pedro Porro,Pass (Dead),Emerson,Fouled,Chelsea
90+4,Son Heung-min,Tottenham,0.14,0.12,Saved,17.0,Left Foot,,Oliver Skipp,Pass (Live),Yves Bissouma,Tackle,Chelsea
90+4,Nicolas Jackson,Chelsea,0.41,0.18,Goal,12.0,Right Foot,,Conor Gallagher,Pass (Live),Malo Gusto,Pass (Live),Tottenham
90+7,Nicolas Jackson,Chelsea,0.98,0.99,Goal,5.0,Right Foot,,Nicolas Jackson,Take-On,Cole Palmer,Pass (Live),Tottenham
90+9,Nicolas Jackson,Chelsea,0.24,,Off Target,14.0,Left Foot,,Mykhailo Mudryk,Pass (Live),Marc Cucurella,Pass (Live),Tottenham
6,Gabriel Dos Santos,Arsenal,0.04,,Off Target,5.0,Other,,Bukayo Saka,Pass (Dead),Bukayo Saka,Pass (Live),Burnley
8,Zeki Amdouni,Burnley,0.05,0.14,Saved,28.0,Right Foot,,Jordan Beyer,Pass (Live),James Trafford,Pass (Live),Arsenal
20,Takehiro Tomiyasu,Arsenal,0.02,,Blocked,22.0,Left Foot,,,,,,Burnley
20,Bukayo Saka,Arsenal,0.02,0.2,Saved,16.0,Right Foot,,,,,,Burnley
25,Kai Havertz,Arsenal,0.12,,Off Target,13.0,Right Foot,,Oleksandr Zinchenko,Pass (Live),Bukayo Saka,Pass (Live),Burnley
28,Jay Rodriguez,Burnley,0.03,0.04,Saved,13.0,Head,,Jóhann Berg Guðmundsson,Pass (Live),Vitinho,Pass (Live),Arsenal
30,Kai Havertz,Arsenal,0.2,,Off Target,4.0,Head,,Bukayo Saka,Pass (Dead),Leandro Trossard,Take-On,Burnley
31,Johann Berg Gudmundsson,Burnley,0.06,0.36,Saved,15.0,Left Foot,,,,,,Arsenal
32,Jay Rodriguez,Burnley,0.04,0.43,Saved,26.0,Right Foot,,Jordan Beyer,Pass (Live),,,Arsenal
