Player,Position,Team,GW,FPTS,Ghost Points,Negative Fpts,Ros Rank,RKOV,RKPOS,Ros RankPOS,Started,GP,Home,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN,FP/G,Overperformance
Luis Sinisterra,F,BOU,7,6.0,6.0,0.0,129,329,64,37,False,1,True,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,30,6.0,27
Mads Andersen,D,LUT,7,6.0,6.0,0.0,200,180,43,29,False,1,False,0,0,0,0,0,0,0,0,0,0,8,0,2,2,0,0,0,0,0,4,45,6.0,14
Orel Mangala,M,NOT,7,6.0,6.0,0.0,200,261,79,51,True,1,True,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,1,0,1,90,6.0,28
Boubacar Kamara,M,AVL,7,5.5,5.5,0.0,200,113,39,51,True,1,True,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,16,88,5.5,-12
Lewis Cook,M,BOU,7,5.5,5.5,0.0,200,152,53,51,True,1,True,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,4,0,2,90,5.5,2
Luke Thomas,D,SHU,7,5.5,5.5,-4.5,200,722,98,29,True,1,False,0,1,0,0,0,1,0,0,3,0,0,2,2,1,0,0,0,2,0,1,90,5.5,69
Erling Haaland,F,MCI,7,5.0,5.0,0.0,1,2,1,1,True,1,False,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,100,90,5.0,0
Mohammed Kudus,M,WHU,7,5.0,5.0,0.0,44,287,85,18,False,1,True,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,67,17,5.0,67
Nelson Semedo,D,WOL,7,5.0,5.0,-3.0,200,203,50,29,True,1,True,0,0,0,0,2,2,0,0,0,3,4,0,1,1,0,0,0,1,0,19,90,5.0,21
Mads Roerslev,D,BRF,7,5.0,5.0,0.0,200,254,64,29,False,1,False,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,5.0,35
Craig Dawson,D,WOL,7,4.75,4.75,-2.0,200,188,46,29,True,1,True,0,0,0,0,0,0,0,0,0,0,7,0,3,2,0,0,0,1,0,14,90,4.75,17
Kristoffer Ajer,D,BRF,7,4.75,4.75,-2.5,200,244,60,29,True,1,False,0,0,0,0,2,1,0,0,0,1,1,0,0,4,0,0,0,1,0,2,88,4.75,31
Marcus Rashford,F,MUN,7,4.5,4.5,-0.5,22,42,15,9,True,1,True,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,100,76,4.5,6
Solly March,M,BHA,7,4.5,4.5,0.0,16,30,15,9,True,1,False,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,3,0,100,61,4.5,6
Taiwo Awoniyi,F,NOT,7,4.5,4.5,0.0,57,32,11,20,True,1,True,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,95,80,4.5,-9
Anthony Martial,F,MUN,7,4.5,4.5,0.0,200,258,56,44,False,1,True,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,12,4.5,12
Ibrahim Sangare,M,NOT,7,4.5,4.5,-2.0,200,280,83,51,True,1,True,0,0,0,0,1,0,1,0,0,1,2,2,2,1,0,0,0,1,0,10,76,4.5,32
Carlos Vinicius,F,FUL,7,4.5,4.5,-0.5,200,256,55,44,False,1,True,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,9,36,4.5,11
Tom Cairney,M,FUL,7,4.5,4.5,-0.5,200,321,92,51,False,1,True,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,4.5,41
Kaoru Mitoma,M,BHA,7,4.0,4.0,-3.0,14,15,7,8,True,1,False,0,2,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,6,0,100,90,4.0,-1
Morgan Gibbs-White,M,NOT,7,4.0,4.0,0.0,21,48,20,11,False,1,True,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,99,28,4.0,9
Pedro Neto,F,WOL,7,4.0,-2.0,-3.0,19,7,4,7,True,1,True,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,96,90,4.0,-3
Pedro Neto,F,WOL,7,4.0,-2.0,-3.0,19,7,4,7,True,1,True,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,96,90,4.0,-3
