Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min,FPts/Start
Nelson Semedo,WOL,D,1,5.75,1.0,MUN,False,5.75,200,195,0,0,0,0,1,2,1,0,3,2,3,6,1,1,0,0,0,3,0,Wolves,19%,1,90,3.2
Jarrad Branthwaite,EVE,D,1,5.75,,,,5.75,200,191,0,0,0,0,0,0,0,0,0,2,7,1,2,1,0,0,0,1,0,,15%,1,90,inf
Issa Diop,FUL,D,1,5.75,1.0,EVE,False,5.75,200,220,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,Fulham,12%,1,90,3.4
Cristian Romero,TOT,D,1,5.5,1.0,BRF,False,5.5,84,45,0,1,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,1,0,Tottenham,90%,1,90,9.4
Mykhailo Mudryk,CHE,M,1,5.5,0.0,LIV,True,5.5,109,214,0,2,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,1,Chelsea,79%,1,62,inf
Anthony Elanga,NOT,F,1,5.5,0.0,ARS,False,5.5,135,103,0,1,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,Nott'ham Forest,44%,1,90,inf
Lyle Foster,BUR,F,1,5.5,1.0,MCI,True,5.5,148,144,0,1,1,1,0,1,0,1,0,0,4,1,0,4,0,0,0,1,0,Burnley,21%,1,88,5.8
Josko Gvardiol,MCI,D,1,5.0,0.0,BUR,False,5.0,200,141,0,2,0,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,Manchester City,82%,1,88,inf
Cole Palmer,CHE,M,1,5.0,0.0,BUR,False,5.0,102,284,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City,44%,1,26,inf
Nayef Aguerd,WHU,D,1,5.0,1.0,BOU,False,5.0,200,105,0,0,0,0,0,0,0,0,0,3,8,0,4,2,0,0,0,3,0,West Ham,32%,1,90,3.8
Lesley Ugochukwu,CHE,F,1,5.0,0.0,LIV,True,5.0,200,301,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,Chelsea,2%,1,90,inf
Joel Matip,LIV,D,1,4.75,,,,4.75,200,189,0,0,0,0,1,1,0,0,0,2,5,0,1,2,0,0,0,1,0,,22%,1,90,inf
