Player,Team,Position,FPTS,MIN,GS,LiveRkOv,G,A,PTS,S,SOT,FC,FS,YC,RC,DPT,OFF,PKG,CS,90s,FPts/90
Iyenoma Destiny Udogie,TOT,D,66.0,673,8,75.88,0,2,2,1,1,17,12,3,0,26,2,0,3,7.48,8.82
Jack Cork,BUR,M,0.0,15,0,465.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.17,0.0
Jack Grealish,MCI,M,23.0,191,2,210.0,0,1,1,5,0,1,6,1,0,4,0,0,1,2.12,10.85
Jack Harrison,EVE,M,30.5,122,1,251.0,1,1,2,4,1,2,4,0,0,2,0,0,1,1.36,22.43
Jack Hinshelwood,BHA,M,7.0,85,1,317.0,0,0,0,0,0,2,1,0,0,2,0,0,0,0.94,7.45
Jack Robinson,SHU,D,9.5,673,7,294.75,0,1,1,4,0,3,3,2,0,9,0,0,0,7.48,1.27
Jacob Brown,LUT,F,31.0,429,5,163.29,0,0,0,14,3,8,5,2,0,14,4,0,0,4.77,6.5
Jacob Bruun Larsen,BUR,F,22.0,129,0,229.33,1,0,1,6,2,4,1,0,0,4,2,0,0,1.43,15.38
Jacob Murphy,NEW,M,14.0,11,0,277.67,0,1,1,0,0,1,0,0,0,1,0,0,0,0.12,116.67
Jacob Ramsey,AVL,M,15.5,46,0,252.0,1,0,1,3,2,0,1,0,0,0,0,0,0,0.51,30.39
Jaden Philogene-Bidace,AVL,M,0.0,2,0,643.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0
Jadon Sancho,MUN,M,5.0,73,0,336.0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.81,6.17
Jaidon Anthony,BOU,F,3.5,150,2,349.0,0,0,0,2,1,4,2,1,0,7,2,0,0,1.67,2.1
Jairo Riedewald,CRY,M,5.0,85,1,366.0,0,0,0,0,0,2,0,0,0,2,0,0,1,0.94,5.32
Jakub Kiwior,ARS,D,2.5,91,1,367.0,0,0,0,1,1,1,0,0,0,1,0,0,0,1.01,2.48
Jamaal Lascelles,NEW,D,15.25,195,2,271.33,0,0,0,2,0,4,1,0,0,4,0,0,1,2.17,7.03
James Garner,EVE,M,68.5,615,7,77.0,1,1,2,13,4,6,12,1,0,9,1,0,1,6.83,10.03
James Hill,BOU,D,0.5,14,0,392.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.16,3.12
James Maddison,TOT,M,140.5,667,8,3.75,2,5,7,23,13,7,23,2,0,13,0,0,3,7.41,18.96
James Mcatee,SHU,M,12.0,236,3,297.8,0,0,0,3,2,3,4,1,0,6,0,0,0,2.62,4.58
James Milner,BHA,M,7.5,225,3,314.0,0,0,0,0,0,6,3,2,0,12,0,0,0,2.5,3.0
James Tarkowski,EVE,D,81.5,718,8,56.38,1,1,2,5,1,9,1,0,0,9,0,0,1,7.98,10.21
