Player,Team,Position,LiveRkOv,Status (Pilot),Opponent,FPTS,FP/G,GP,GS,MIN,G,KP,AT,SOT,TKW,YC,RC,PEN,ACNC,INT,CLR,BS,DW,DL,LBA,PKM,PKD,OG,GAO,CS,GW,Ghost Points,Negative Fpts,PTS,DPT,OFF,PKG,GPR,Default FPTS,Default Ghosts,Default Negative FPTS,Status (Default),Delta,Delta Ghosts,Delta Negative FPTS
Ibrahim Sangare,NOT,M,238,FA,NOT 0<br/>@MCI 2 F,-0.75,-0.75,1,1,55,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,6,1.0,-1.75,0,5,0,0,-1.33,-1.0,1.0,-2.0,W (Thu),0.25,0.0,0.25
Max Aarons,BOU,D,226,FA,BOU 1<br/>@BHA 3 F,-1.0,-1.0,1,1,90,0,0,0,0,1,0,0,0,0,0,1,0,5,2,1,0,0,0,3,0,6,3.5,-0.5,0,0,1,0,-3.5,-4.25,2.25,-6.5,W (Thu),3.25,1.25,6.0
Anis Ben Slimane,SHU,M,416,FA,NEW 8<br/>@SHU 0 F,-1.0,-1.0,1,0,23,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,3,0,6,0.5,-1.5,0,3,0,0,-0.5,-2.0,0.0,-2.0,W (Thu),1.0,0.5,0.5
Divock Origi,NOT,F,412,FA,NOT 0<br/>@MCI 2 F,-1.5,-1.5,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,6,0.5,-2.0,0,4,0,0,-0.33,-3.0,0.0,-3.0,W (Thu),1.5,0.5,1.0
Serge Aurier,NOT,D,141,KFC,NOT 0<br/>@MCI 2 F,-1.75,-1.75,1,1,55,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,2,0,6,1.0,-0.75,0,1,0,0,-0.57,-4.25,0.25,-4.5,Pancake,2.5,0.75,3.75
Nuno Tavares,NOT,D,733,FA,NOT 0<br/>@MCI 2 F,-2.25,-2.25,1,1,38,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,6,1.0,-1.25,0,4,0,0,-0.44,-5.0,1.0,-6.0,W (Thu),2.75,0.0,4.75
Kurt Zouma,WHU,D,112,draft,WHU 1<br/>@LIV 3 F,-2.75,-2.75,1,1,90,0,0,0,0,2,1,0,0,0,0,2,0,2,3,2,0,0,0,3,0,6,3.0,-1.75,0,4,0,0,-1.09,-5.5,2.5,-8.0,XXX,2.75,0.5,6.25
Cristian Romero,TOT,D,21,TranzOTF,TOT 2<br/>@ARS 2 F,-3.0,-3.0,1,1,90,0,0,0,0,3,1,0,1,0,1,6,0,6,6,2,0,0,1,2,0,6,7.5,-8.5,0,7,0,0,-2.5,-2.5,8.5,-11.0,Adam,-0.5,-1.0,2.5
Malo Gusto,CHE,D,185,FA,AVL 1<br/>@CHE 0 F,-3.5,-3.5,1,1,57,0,1,0,0,0,0,1,0,0,0,0,0,6,3,1,0,0,0,0,0,6,4.25,-7.75,0,7,1,0,-1.21,-4.0,3.0,-7.0,Maddihat,0.5,1.25,-0.75
Milos Kerkez,BOU,D,237,FA,BOU 1<br/>@BHA 3 F,-4.0,-4.0,1,1,90,0,0,0,0,1,0,0,0,1,1,2,0,7,7,1,0,0,1,3,0,6,6.75,-6.75,0,3,0,0,-1.69,-7.5,4.5,-12.0,W (Thu),3.5,2.25,5.25
Aaron Hickey,BRF,D,240,FA,EVE 3<br/>@BRF 1 F,-4.25,-4.25,1,1,72,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,6,0.25,-0.5,0,1,0,0,-0.06,-5.75,0.25,-6.0,W (Thu),1.5,0.0,5.5
Jean-Ricner Bellegarde,WOL,M,738,draft,WOL 1<br/>@LUT 1 F,-4.5,-4.5,1,1,38,0,0,0,0,2,0,1,0,0,0,0,1,4,6,0,0,0,0,0,0,6,4.0,-8.5,0,7,0,0,-0.89,-4.5,3.0,-7.5,W (Thu),0.0,1.0,-1.0
Rodri,MCI,M,34,TranzOTF,NOT 0<br/>@MCI 2 F,-5.0,-5.0,1,1,45,0,0,0,0,0,0,1,0,0,0,0,0,3,3,5,0,0,0,0,0,6,2.75,-7.75,0,7,0,0,-0.55,-6.5,1.0,-7.5,Vroom,1.5,1.75,-0.25
John Egan,SHU,D,326,FA,NEW 8<br/>@SHU 0 F,-7.25,-7.25,1,1,90,0,0,0,0,0,1,0,0,0,5,7,0,3,2,0,0,0,0,8,0,6,8.25,-1.5,0,4,0,0,-1.14,-10.25,7.75,-18.0,W (Thu),3.0,0.5,16.5
Luke Thomas,SHU,D,427,FA,NEW 8<br/>@SHU 0 F,-9.25,-9.25,1,1,90,0,0,0,0,0,0,0,0,0,1,3,0,7,2,0,0,0,0,8,0,6,5.25,-0.5,0,0,0,0,-0.57,-9.25,6.75,-16.0,W (Thu),0.0,-1.5,15.5
Anel Ahmedhodzic,SHU,D,293,FA,NEW 8<br/>@SHU 0 F,-10.75,-10.75,1,1,90,0,0,0,0,1,1,0,0,0,1,1,1,5,4,0,0,0,0,8,0,6,5.25,-2.0,0,4,0,0,-0.49,-12.75,5.25,-18.0,W (Thu),2.0,0.0,16.0
Jack Robinson,SHU,D,262,FA,NEW 8<br/>@SHU 0 F,-10.75,-10.75,1,1,90,0,0,0,0,0,1,0,0,0,1,8,0,2,2,3,0,0,0,8,0,6,4.75,-1.5,0,4,0,0,-0.44,-13.0,5.0,-18.0,W (Thu),2.25,-0.25,16.5
Marcus Tavernier,BOU,M,63,xxx,BOU 3<br/>@SHU 1 F,34.25,34.25,1,1,81,2,3,0,5,1,0,0,0,1,0,1,0,3,4,0,0,0,0,0,1,13,16.25,-1.0,2,1,0,0,0.47,37.5,19.0,-0.5,4b. DcbB,-3.25,-2.75,-0.5
Morgan Gibbs-White,NOT,M,34,Bfred,BHA 3<br/>@NOT 2 F,31.0,31.0,1,1,90,1,4,1,1,1,0,0,0,3,1,2,0,10,5,1,0,0,0,3,0,13,16.25,-1.25,2,0,0,1,0.52,35.0,20.0,0.0,deceptiv,-4.0,-3.75,-1.25
Joao Pedro,BHA,F,40,KFC,BHA 3<br/>@NOT 2 F,30.0,30.0,1,0,68,2,0,0,2,2,0,0,0,0,0,4,0,11,7,1,0,1,0,1,0,13,13.75,-1.75,2,0,0,1,0.46,27.5,11.0,-1.5,Maddihat,2.5,2.75,-0.25
Willian,FUL,F,92,xxx,WOL 2<br/>@FUL 3 F,25.75,25.75,1,1,88,2,2,0,2,0,0,0,0,0,0,0,0,3,2,3,0,0,0,2,0,13,8.25,-0.5,2,0,0,2,0.32,25.5,8.0,-0.5,deceptiv,0.25,0.25,0.0
Diogo Dalot,MUN,D,50,xxx,MUN 3<br/>@EVE 0 F,25.25,25.25,1,1,90,0,3,1,0,2,0,0,0,2,3,2,1,3,2,3,0,0,0,0,1,13,12.75,-0.5,1,1,0,0,0.5,27.5,14.5,0.0,4b. DcbB,-2.25,-1.75,-0.5
Pascal Gross,BHA,M,13,Catts4En,BHA 3<br/>@NOT 2 F,24.75,24.75,1,1,90,0,6,2,0,2,0,0,0,1,0,2,0,4,3,4,0,0,0,2,0,13,11.5,-0.75,2,0,0,0,0.46,28.5,16.5,0.0,XXX,-3.75,-5.0,-0.75
Michael Olise,CRY,M,239,Badger12,CRY 1<br/>@LUT 2 F,23.75,23.75,1,1,90,1,3,0,1,4,0,0,0,4,1,0,0,8,6,1,0,0,0,2,0,13,16.25,-1.5,1,1,0,0,0.68,25.5,18.0,-1.5,avitek,-1.75,-1.75,0.0
Mohammed Kudus,WHU,M,84,KFC,WHU 2<br/>@BUR 1 F,23.0,23.0,1,1,90,0,2,2,0,4,0,0,1,2,0,0,0,13,11,1,0,0,0,1,0,13,12.75,-3.75,1,3,0,0,0.55,25.0,15.5,-2.5,XXX,-2.0,-2.75,-1.25
Anthony Martial,MUN,F,278,W (Tue),MUN 3<br/>@EVE 0 F,21.75,21.75,1,1,83,1,0,1,1,0,0,0,0,0,0,1,0,6,6,0,0,1,0,0,1,13,7.25,-1.5,1,1,0,0,0.33,20.0,6.0,-1.0,W (Thu),1.75,1.25,-0.5
Anthony Gordon,NEW,M,9,Bfred,CHE 1<br/>@NEW 4 F,21.25,21.25,1,1,88,1,1,1,1,0,0,0,0,1,1,0,0,5,9,0,0,0,0,1,0,13,7.5,-2.25,2,1,0,0,0.35,19.5,6.0,-1.5,4b. DcbB,1.75,1.5,-0.75
Justin Kluivert,BOU,M,252,W (Tue),BOU 3<br/>@SHU 1 F,19.75,19.75,1,1,65,1,2,0,3,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,13,11.0,-1.25,1,1,0,0,0.56,23.5,13.5,0.0,W (Thu),-3.75,-2.5,-1.25
Alex Iwobi,FUL,M,118,chukdave,WOL 2<br/>@FUL 3 F,19.0,19.0,1,1,90,1,0,0,3,1,0,0,0,1,1,1,0,2,2,3,0,0,0,2,0,13,10.5,-0.5,1,0,0,0,0.55,18.5,10.0,-0.5,Adam,0.5,0.5,0.0
Giovani Lo Celso,TOT,M,241,Sean,AVL 2<br/>@TOT 1 F,18.25,18.25,1,1,85,1,3,0,1,1,0,0,0,0,1,0,0,7,6,3,0,0,0,2,0,13,10.75,-1.5,1,3,0,0,0.59,20.0,11.0,0.0,deceptiv,-1.75,-0.25,-1.5
Teden Mengi,LUT,D,219,FA,CRY 1<br/>@LUT 2 F,18.0,18.0,1,1,90,1,0,0,1,2,0,0,0,0,1,10,1,4,4,2,0,0,0,1,0,13,10.0,-1.0,1,1,0,0,0.56,17.5,9.5,-2.0,W (Thu),0.5,0.5,1.0
Marcus Rashford,MUN,F,126,Boss,MUN 3<br/>@EVE 0 F,17.5,17.5,1,1,90,1,2,0,1,2,0,0,0,2,0,2,0,5,7,1,0,0,0,0,1,13,10.25,-1.75,1,0,0,1,0.59,19.0,10.5,-0.5,Maddihat,-1.5,-0.25,-1.25
Pau Torres,AVL,D,102,W (Tue),AVL 2<br/>@TOT 1 F,17.0,17.0,1,1,90,1,0,0,1,1,0,0,0,0,1,2,1,6,1,1,0,0,0,1,0,13,8.25,-0.25,1,1,0,0,0.49,16.5,8.5,-2.0,W (Thu),0.5,-0.25,1.75
Bruno Fernandes,MUN,M,6,ZB,MUN 3<br/>@EVE 0 F,16.5,16.5,1,1,90,0,3,1,0,1,0,0,0,0,2,1,0,4,2,5,0,0,0,0,1,13,9.0,-0.5,1,2,0,0,0.55,17.0,10.0,0.0,4b. DcbB,-0.5,-1.0,-0.5
Erling Haaland,MCI,F,1,TranzOTF,LIV 1<br/>@MCI 1 F,16.5,16.5,1,1,90,1,0,0,2,1,0,0,0,0,0,2,0,6,2,0,0,0,0,1,0,13,8.0,-0.5,1,1,0,0,0.48,16.0,7.0,0.0,dsb_ff,0.5,1.0,-0.5
Oliver McBurnie,SHU,F,232,W (Tue),BOU 3<br/>@SHU 1 F,16.5,16.5,1,0,45,1,1,0,1,1,0,0,0,0,0,3,0,11,9,0,0,0,0,1,0,13,9.75,-2.25,1,1,1,0,0.59,17.0,8.5,-0.5,W (Thu),-0.5,1.25,-1.75
Douglas Luiz,AVL,M,7,draft,AVL 2<br/>@TOT 1 F,16.25,16.25,1,1,90,0,2,1,0,2,0,0,0,1,2,0,0,7,6,5,0,0,0,1,0,13,10.75,-1.5,1,3,0,0,0.66,16.0,10.5,-0.5,Maddihat,0.25,0.25,-1.0
Tom Cairney,FUL,M,202,FA,WOL 2<br/>@FUL 3 F,16.25,16.25,1,1,88,0,0,1,1,2,0,0,0,0,1,0,0,8,4,1,0,1,0,2,0,13,10.25,-1.0,0,3,0,0,0.63,12.5,7.0,-0.5,W (Thu),3.75,3.25,-0.5
Victor Lindelof,MUN,D,171,W (Tue),MUN 3<br/>@EVE 0 F,16.0,16.0,1,1,90,0,0,0,0,1,0,0,0,0,1,8,3,6,2,4,0,0,0,0,1,13,10.5,-0.5,0,0,1,0,0.66,16.0,10.0,0.0,W (Thu),0.0,0.5,-0.5
George Baldock,SHU,D,268,W (Tue),BOU 3<br/>@SHU 1 F,15.25,15.25,1,1,90,0,3,1,0,3,1,0,0,2,3,5,1,5,4,0,0,0,0,3,0,13,14.25,-2.0,1,5,1,0,0.93,17.25,18.25,-8.0,W (Thu),-2.0,-4.0,6.0
Trent Alexander-Arnold,LIV,D,17,draft,LIV 1<br/>@MCI 1 F,15.0,15.0,1,1,90,1,0,0,1,1,0,0,0,0,2,2,0,5,10,4,0,0,0,1,0,13,8.5,-2.5,1,0,0,0,0.57,15.5,7.5,-2.0,deceptiv,-0.5,1.0,-0.5
Bukayo Saka,ARS,M,3,chukdave,ARS 1<br/>@BRF 0 F,14.75,14.75,1,1,88,0,5,1,0,1,0,0,0,1,1,0,0,2,7,0,0,0,0,0,1,13,8.5,-1.75,1,0,0,0,0.58,19.5,13.5,-1.0,Adam,-4.75,-5.0,-0.75
Jay Rodriguez,BUR,F,230,W (Tue),WHU 2<br/>@BUR 1 F,14.5,14.5,1,1,90,1,1,0,1,2,0,0,0,0,0,0,0,8,10,0,0,0,0,2,0,13,8.0,-2.5,1,1,1,1,0.55,17.0,8.5,-0.5,W (Thu),-2.5,-0.5,-2.0
Raheem Sterling,CHE,F,29,Catts4En,CHE 1<br/>@NEW 4 F,14.25,14.25,1,1,86,1,0,0,2,1,1,0,0,0,2,1,0,4,10,0,0,0,0,4,0,13,8.75,-3.5,1,6,0,0,0.61,14.0,9.0,-4.0,4b. DcbB,0.25,-0.25,0.5
Pedro Porro,TOT,D,28,Bfred,AVL 2<br/>@TOT 1 F,14.25,14.25,1,1,90,0,4,1,1,1,0,0,0,0,1,0,0,4,4,3,0,0,0,2,0,13,10.25,-1.0,1,1,0,0,0.72,17.0,14.0,-4.0,dsb_ff,-2.75,-3.75,3.0
Joelinton,NEW,M,123,TranzOTF,CHE 1<br/>@NEW 4 F,14.25,14.25,1,1,90,1,0,0,1,4,1,0,0,0,1,0,0,9,14,1,0,0,0,1,0,13,9.75,-4.5,1,7,0,0,0.68,12.5,7.5,-4.0,4b. DcbB,1.75,2.25,-0.5
Alejandro Garnacho,MUN,M,173,tottiand,MUN 3<br/>@EVE 0 F,14.25,14.25,1,1,71,1,0,0,1,0,0,0,0,0,0,2,0,6,5,0,0,0,0,0,1,13,5.5,-1.25,1,1,0,0,0.39,13.0,3.5,-0.5,Kish123,1.25,2.0,-0.75
Jeremy Doku,MCI,F,37,ZB,LIV 1<br/>@MCI 1 F,14.25,14.25,1,1,90,0,4,0,0,3,0,0,0,1,0,1,0,18,7,1,0,0,0,1,0,13,16.0,-1.75,0,1,0,0,1.12,23.0,24.0,-1.0,Kish123,-8.75,-8.0,-0.75
Hwang Hee-Chan,WOL,F,25,Bfred,WOL 2<br/>@FUL 3 F,14.25,14.25,1,1,90,1,0,0,1,0,0,0,0,0,1,0,0,3,5,0,0,1,0,3,0,13,6.5,-1.25,1,0,1,1,0.46,14.0,5.0,0.0,dsb_ff,0.25,1.5,-1.25
Johann Gudmundsson,BUR,M,185,Catts4En,WHU 2<br/>@BUR 1 F,14.25,14.25,1,1,84,0,4,0,1,0,0,0,0,2,2,1,0,5,2,4,0,0,0,0,1,13,13.75,-0.5,0,0,0,0,0.96,15.5,15.5,-1.0,avitek,-1.25,-1.75,0.5
Tomas Soucek,WHU,M,44,Bfred,WHU 2<br/>@BUR 1 F,14.0,14.0,1,1,90,1,0,0,2,0,0,0,0,0,0,1,0,3,3,0,0,0,0,1,0,13,5.75,-0.75,1,1,0,0,0.41,14.5,5.5,0.0,dsb_ff,-0.5,0.25,-0.75
Nathan Ake,MCI,D,172,tottiand,LIV 1<br/>@MCI 1 F,14.0,14.0,1,1,90,0,1,1,0,1,0,0,0,0,1,5,0,7,1,0,0,0,0,1,0,13,7.25,-0.25,1,1,0,0,0.52,13.25,8.25,-2.0,W (Thu),0.75,-1.0,1.75
Evan Ferguson,BHA,F,90,Badger12,BHA 3<br/>@NOT 2 F,13.5,13.5,1,1,76,1,0,0,1,2,1,0,0,0,0,1,1,3,1,0,0,0,0,2,0,13,5.75,-1.25,1,3,0,0,0.43,12.0,5.0,-2.0,XXX,1.5,0.75,0.75
Antoine Semenyo,BOU,F,131,tottiand,BOU 3<br/>@SHU 1 F,13.25,13.25,1,1,65,0,1,1,1,1,0,0,0,0,0,1,0,8,7,1,0,0,0,0,1,13,8.0,-1.75,1,1,0,0,0.6,15.5,10.0,-0.5,W (Thu),-2.25,-2.0,-1.25
Mohamed Salah,LIV,F,2,tottiand,LIV 1<br/>@MCI 1 F,13.0,13.0,1,1,90,0,3,1,0,1,0,0,0,1,0,0,0,6,6,0,0,0,0,1,0,13,7.5,-1.5,1,0,0,0,0.58,15.5,11.0,-1.5,Vroom,-2.5,-3.5,0.0
Ollie Watkins,AVL,F,4,xxx,AVL 2<br/>@TOT 1 F,13.0,13.0,1,1,88,1,1,0,1,0,1,0,0,0,1,1,0,5,7,0,0,0,0,1,0,13,6.75,-2.75,1,4,1,0,0.52,12.0,7.0,-4.0,4b. DcbB,1.0,-0.25,1.25
Oleksandr Zinchenko,ARS,D,54,draft,ARS 1<br/>@BRF 0 F,13.0,13.0,1,1,90,0,2,0,0,0,0,0,0,1,1,1,1,3,3,4,0,0,0,0,1,13,7.75,-0.75,0,0,0,0,0.6,15.25,9.25,0.0,Kish123,-2.25,-1.5,-0.75
Jacob Brown,LUT,F,194,FA,CRY 1<br/>@LUT 2 F,13.0,13.0,1,0,10,1,0,0,1,0,0,0,0,0,1,1,0,4,5,0,0,0,0,0,0,13,5.25,-1.25,1,0,0,0,0.4,13.0,4.0,0.0,W (Thu),0.0,1.25,-1.25
Antonee Robinson,FUL,D,68,TranzOTF,WOL 2<br/>@FUL 3 F,12.5,12.5,1,1,90,0,1,1,0,1,0,0,0,1,2,3,0,5,2,1,0,0,0,2,0,13,8.0,-0.5,1,0,1,0,0.64,12.75,9.75,-4.0,deceptiv,-0.25,-1.75,3.5
Matheus Cunha,WOL,F,19,chukdave,WOL 2<br/>@FUL 3 F,12.5,12.5,1,1,82,1,1,0,1,0,0,0,0,0,0,1,0,3,6,1,0,0,0,2,0,13,5.0,-1.5,1,1,0,0,0.4,12.0,4.0,-1.0,Maddihat,0.5,1.0,-0.5
Chiedozie Ogbene,LUT,F,155,FA,CRY 1<br/>@LUT 2 F,12.5,12.5,1,1,90,0,1,1,0,0,0,0,0,1,1,2,0,6,4,0,0,0,0,1,0,13,6.5,-1.0,1,0,0,0,0.52,13.0,7.5,-0.5,W (Thu),-0.5,-1.0,-0.5
Miguel Almiron,NEW,M,151,xxx,CHE 1<br/>@NEW 4 F,12.25,12.25,1,1,86,0,3,1,0,1,0,0,0,0,0,0,0,5,5,2,0,0,0,1,0,13,6.5,-1.25,1,1,0,0,0.53,14.0,9.0,-1.0,Pancake,-1.75,-2.5,-0.25
Callum Hudson-Odoi,NOT,F,271,draft,BHA 3<br/>@NOT 2 F,12.25,12.25,1,0,27,0,1,1,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,13,5.25,0.0,0,0,0,0,0.43,11.0,5.0,0.0,W (Thu),1.25,0.25,0.0
Jean-Ricner Bellegarde,WOL,M,297,draft,WOL 2<br/>@FUL 3 F,12.25,12.25,1,1,61,0,2,1,0,1,0,0,0,1,1,0,0,3,3,0,0,0,0,2,0,13,6.0,-0.75,1,0,0,0,0.49,14.0,9.0,-1.0,W (Thu),-1.75,-3.0,0.25
Harry Maguire,MUN,D,104,Catts4En,MUN 3<br/>@EVE 0 F,12.0,12.0,1,1,90,0,0,0,0,0,0,0,0,0,1,8,1,5,5,3,0,0,0,0,1,13,7.25,-1.25,0,1,1,0,0.6,15.0,9.0,0.0,avitek,-3.0,-1.75,-1.25
Takehiro Tomiyasu,ARS,D,205,W (Tue),ARS 1<br/>@BRF 0 F,12.0,12.0,1,1,90,0,0,0,0,1,0,0,0,0,2,4,0,6,4,2,0,0,0,0,1,13,7.0,-1.0,0,1,0,0,0.58,12.5,7.0,-0.5,dsb_ff,-0.5,0.0,-0.5
Gabriel Magalhaes,ARS,D,121,ZB,ARS 1<br/>@BRF 0 F,11.75,11.75,1,1,90,0,0,0,0,0,0,0,0,0,0,3,1,8,2,2,0,0,0,0,1,13,6.25,-0.5,0,0,0,0,0.53,14.75,8.75,0.0,W (Thu),-3.0,-2.5,-0.5
Lucas Paqueta,WHU,M,46,Boss,WHU 2<br/>@BUR 1 F,11.5,11.5,1,1,90,0,2,0,0,3,0,0,0,1,1,1,0,13,6,3,0,0,0,1,0,13,13.0,-1.5,0,1,0,0,1.13,13.0,13.5,-0.5,deceptiv,-1.5,-0.5,-1.0
Kai Havertz,ARS,F,128,W (Tue),ARS 1<br/>@BRF 0 F,11.5,11.5,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,13,3.0,-0.5,1,0,0,0,0.26,11.5,3.0,-0.5,W (Thu),0.0,0.0,0.0
Anthony Elanga,NOT,F,93,Boss,BHA 3<br/>@NOT 2 F,11.25,11.25,1,1,90,1,1,0,1,0,0,0,0,0,0,0,0,2,7,0,0,0,0,3,0,13,4.0,-1.75,1,1,0,0,0.36,13.0,4.5,-0.5,Kish123,-1.75,-0.5,-1.25
Jamaal Lascelles,NEW,D,186,Badger12,CHE 1<br/>@NEW 4 F,11.25,11.25,1,1,85,1,1,0,1,0,1,0,0,0,1,1,0,1,6,0,0,0,0,1,0,13,4.75,-2.5,1,4,0,0,0.42,11.25,6.25,-5.0,Adam,0.0,-1.5,2.5
Joel Ward,CRY,D,179,KFC,CRY 1<br/>@LUT 2 F,11.25,11.25,1,1,90,0,1,1,0,2,0,0,0,0,0,2,1,7,6,3,0,0,0,2,0,13,7.75,-1.5,1,1,0,0,0.69,12.5,9.5,-4.0,W (Thu),-1.25,-1.75,2.5
Harry Wilson,FUL,M,132,chukdave,WOL 2<br/>@FUL 3 F,11.0,11.0,1,0,13,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,13,4.5,-0.5,0,1,0,0,0.41,10.0,4.0,0.0,W (Thu),1.0,0.5,-0.5
Luca Koleosho,BUR,F,224,W (Tue),WHU 2<br/>@BUR 1 F,10.75,10.75,1,1,80,0,0,1,1,0,0,0,0,0,0,0,0,4,9,0,0,1,0,0,1,13,6.0,-2.25,0,3,0,0,0.56,10.5,5.0,-0.5,W (Thu),0.25,1.0,-1.75
Alexander Isak,NEW,F,100,chukdave,CHE 1<br/>@NEW 4 F,10.5,10.5,1,1,80,1,0,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,13,2.75,-1.25,1,2,0,0,0.26,10.5,2.5,-1.0,avitek,0.0,0.25,-0.25
Tom Lockyer,LUT,D,135,FA,CRY 1<br/>@LUT 2 F,10.5,10.5,1,1,90,0,0,0,0,2,1,0,0,0,4,6,2,7,4,2,0,0,0,1,0,13,12.5,-2.0,0,5,0,0,1.19,8.0,12.5,-4.5,W (Thu),2.5,0.0,2.5
Dejan Kulusevski,TOT,M,43,ZB,AVL 2<br/>@TOT 1 F,10.25,10.25,1,1,90,0,3,0,1,2,0,0,0,1,1,0,0,10,11,0,0,0,0,2,0,13,13.0,-2.75,0,3,1,0,1.27,17.0,18.0,-1.0,Vroom,-6.75,-5.0,-1.75
Youri Tielemans,AVL,M,214,TranzOTF,AVL 2<br/>@TOT 1 F,10.25,10.25,1,0,45,0,2,1,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,13,4.5,-1.25,1,1,0,0,0.44,10.0,5.0,-1.0,W (Thu),0.25,-0.5,-0.25
Adam Smith,BOU,D,249,W (Tue),BOU 3<br/>@SHU 1 F,10.25,10.25,1,1,90,0,2,1,0,1,0,0,0,0,0,2,0,2,4,1,0,0,0,1,0,13,4.25,-1.0,1,2,1,0,0.41,10.5,5.5,-2.0,W (Thu),-0.25,-1.25,1.0
Vladimir Coufal,WHU,D,48,TranzOTF,WHU 2<br/>@BUR 1 F,10.0,10.0,1,1,90,0,1,0,0,2,1,0,0,1,3,1,0,10,2,1,0,0,0,1,0,13,11.5,-1.5,0,4,0,0,1.15,6.25,10.25,-4.0,W (Thu),3.75,1.25,2.5
Amari'i Bell,LUT,D,275,FA,CRY 1<br/>@LUT 2 F,10.0,10.0,1,1,90,0,2,0,1,2,0,0,0,1,1,6,1,4,6,0,0,0,0,1,0,13,11.5,-1.5,0,2,0,0,1.15,11.0,13.5,-2.5,W (Thu),-1.0,-2.0,1.0
Luke Shaw,MUN,D,265,Sean,MUN 3<br/>@EVE 0 F,9.75,9.75,1,1,75,0,0,0,0,1,0,0,0,0,0,3,0,5,1,1,0,0,0,0,1,13,4.0,-0.25,0,0,0,0,0.41,10.75,4.75,0.0,avitek,-1.0,-0.75,-0.25
Lewis Cook,BOU,M,124,W (Tue),BOU 3<br/>@SHU 1 F,9.75,9.75,1,1,90,0,2,0,0,2,0,0,0,0,2,1,1,8,3,1,0,0,0,1,0,13,10.5,-0.75,0,1,0,0,1.08,11.0,12.0,-1.0,W (Thu),-1.25,-1.5,0.25
Marcos Senesi,BOU,D,110,Badger12,BOU 3<br/>@SHU 1 F,9.75,9.75,1,1,90,0,1,0,0,1,0,0,0,1,1,5,0,10,7,7,0,0,0,1,0,13,11.5,-1.75,0,0,0,0,1.18,11.25,15.25,-4.0,W (Thu),-1.5,-3.75,2.25
Timothy Castagne,FUL,D,184,ZB,WOL 2<br/>@FUL 3 F,9.5,9.5,1,1,90,0,3,0,0,0,0,0,0,0,4,4,0,6,2,4,0,0,0,2,0,13,12.0,-0.5,0,0,0,0,1.26,9.5,14.0,-4.5,W (Thu),0.0,-2.0,4.0
Phil Foden,MCI,M,20,Boss,LIV 1<br/>@MCI 1 F,9.25,9.25,1,1,90,0,0,0,3,1,0,0,0,0,1,2,0,4,4,1,0,0,0,1,0,13,10.25,-1.0,0,0,1,0,1.11,7.5,8.0,-0.5,XXX,1.75,2.25,-0.5
Ethan Pinnock,BRF,D,22,Sean,ARS 1<br/>@BRF 0 F,9.25,9.25,1,1,90,0,0,0,0,0,0,0,0,0,2,12,2,4,1,2,0,0,0,1,0,13,9.5,-0.25,0,0,0,0,1.03,9.0,11.0,-2.0,4b. DcbB,0.25,-1.5,1.75
William Saliba,ARS,D,94,Catts4En,ARS 1<br/>@BRF 0 F,9.25,9.25,1,1,90,0,0,0,0,2,0,0,0,0,0,1,0,7,7,1,0,0,0,0,1,13,5.0,-1.75,0,1,0,0,0.54,12.75,7.25,-0.5,W (Thu),-3.5,-2.25,-1.25
Bernardo Silva,MCI,M,52,Boss,LIV 1<br/>@MCI 1 F,9.0,9.0,1,1,90,0,2,0,0,3,1,0,0,1,0,1,1,10,5,2,0,0,0,1,0,13,11.25,-2.25,0,5,0,0,1.25,10.0,12.0,-2.0,Vroom,-1.0,-0.75,-0.25
Ben Mee,BRF,D,234,tottiand,ARS 1<br/>@BRF 0 F,8.75,8.75,1,1,90,0,1,0,0,1,0,0,0,0,2,8,0,7,1,0,0,0,0,1,0,13,9.0,-0.25,0,0,0,0,1.03,10.0,12.0,-2.0,W (Thu),-1.25,-3.0,1.75
Murillo,NOT,M,169,W (Tue),BHA 3<br/>@NOT 2 F,8.75,8.75,1,1,90,0,1,0,0,1,0,0,0,0,4,1,0,8,10,6,0,0,0,3,0,13,11.25,-2.5,0,3,0,0,1.29,7.5,9.0,-1.5,W (Thu),1.25,2.25,-1.0
Illia Zabarnyi,BOU,D,133,W (Tue),BOU 3<br/>@SHU 1 F,8.75,8.75,1,1,90,0,0,0,0,2,0,0,0,0,1,2,2,4,1,10,0,0,0,1,0,13,9.0,-0.25,0,0,0,0,1.03,5.5,7.5,-2.0,W (Thu),3.25,1.5,1.75
