,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
136,NOT,RM,1,39.5,0.0,7.0,0.0,0.0,14.0,7.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,17.0,4.0,0.0,35.0,0.0,0.0,55.0,-19.5,0.0,11.0,9.0,35.0,49.0,-18.0,4.5,6.0,-1.5
97,LUT,CB,5,39.4,0.8,0.8,0.8,1.6,13.0,1.6,0.0,0.0,9.8,36.4,11.2,0.0,0.0,0.6,24.8,0.0,1.6,15.0,0.6,0.0,68.05,-14.65,0.0,23.0,2.0,101.0,313.5,-280.5,96.0,26.75,207.25
139,SHU,CB,5,38.45,0.0,3.2,0.8,0.8,16.2,1.6,0.0,0.0,11.8,45.0,11.6,0.0,0.0,0.0,27.6,0.0,0.8,13.2,1.6,0.0,77.65,-11.2,0.0,19.0,4.7,143.25,415.25,-300.0,49.0,-27.0,244.0
162,WOL,LB,1,38.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,-4.0,0.0,4.0,14.0,43.0,21.0,-2.0,-5.0,-3.0,-2.0
22,BHA,FW,2,38.0,2.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,6.0,2.0,0.0,27.5,-7.5,0.0,8.0,12.0,74.0,53.0,-15.0,2.0,2.0,0.0
20,BHA,CM,1,37.5,0.0,8.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,14.0,0.0,0.0,47.5,-10.0,0.0,10.0,19.75,32.0,38.0,-6.0,5.5,9.5,-4.0
27,BOU,CB,3,35.67,0.0,5.33,1.33,1.33,12.0,1.33,0.0,0.0,14.0,56.67,14.0,0.0,0.0,0.0,37.33,0.0,1.33,14.0,0.0,0.0,91.0,-14.0,0.0,18.0,8.17,64.5,270.5,-234.0,42.5,2.5,192.0
135,NOT,RB,2,35.38,0.0,4.0,0.0,0.0,19.5,8.0,0.0,0.0,8.0,18.0,3.5,0.0,0.0,0.0,17.0,2.0,0.0,36.0,5.5,0.0,58.25,-15.88,0.0,19.0,9.5,41.0,123.0,-106.0,29.75,-6.5,74.25
25,BHA,RB,2,35.0,0.0,6.0,0.0,0.0,22.0,2.0,0.0,1.0,7.0,25.0,6.0,0.0,0.0,0.0,16.0,0.0,0.0,14.0,1.0,0.0,64.5,-9.5,0.0,10.0,10.38,52.5,123.5,-71.0,17.5,5.5,52.0
21,BHA,DM,4,33.25,1.0,6.5,0.0,2.0,1.0,1.0,0.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,12.5,0.0,1.0,8.0,0.0,0.0,31.88,-7.62,0.0,14.0,4.56,145.0,121.0,-12.0,-12.0,6.5,-18.5
18,BHA,AM,3,33.0,0.0,4.0,2.67,1.33,0.0,1.33,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,4.0,1.33,2.67,5.33,1.33,0.0,18.33,-5.33,0.0,4.0,6.08,106.0,72.0,-18.0,-7.0,-17.0,2.0
79,EVE,RM,1,32.25,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,15.0,-6.75,0.0,3.0,35.75,34.5,15.0,-1.5,-2.25,0.0,-5.25
84,FUL,LM,3,28.67,1.33,5.33,0.0,4.0,1.33,1.33,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,13.33,2.67,1.33,10.67,0.0,0.0,24.0,-10.0,0.0,12.0,4.17,84.0,68.0,-28.0,2.0,4.0,-2.0
115,MUN,LB,2,28.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,8.0,0.0,0.0,25.5,-5.5,0.0,4.0,0.0,67.0,69.0,-26.0,-11.0,-18.0,15.0
143,SHU,WB,3,25.0,0.0,2.67,1.33,0.0,6.0,2.33,0.0,6.67,7.33,27.67,4.0,0.0,0.0,0.0,24.0,1.33,0.0,23.33,4.0,0.0,50.67,-17.67,0.0,15.0,1.92,28.75,136.75,-160.0,46.25,15.25,107.0
49,BUR,RB,2,21.0,0.0,7.0,2.0,0.0,4.0,4.0,2.0,0.0,6.0,35.0,4.0,0.0,0.0,0.0,15.0,0.0,2.0,26.0,0.0,0.0,42.88,-24.88,0.0,16.0,-0.5,10.5,91.5,-109.0,31.5,-5.75,59.25
19,BHA,CB,4,19.62,0.0,0.0,0.0,0.5,6.0,4.5,0.0,0.0,9.0,30.0,10.0,0.0,0.0,0.0,21.0,0.0,0.0,19.5,0.5,0.0,54.12,-10.5,0.0,18.0,5.75,-10.0,196.0,-206.0,88.5,20.5,164.0
114,MUN,FW,2,18.5,0.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,2.0,0.0,27.25,-8.75,0.0,10.0,7.5,49.0,56.0,-7.0,-12.0,-1.5,-10.5
141,SHU,FW,4,18.12,0.0,6.0,0.0,3.0,2.75,2.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,16.25,0.0,0.0,18.0,3.0,0.0,43.25,-25.12,0.0,12.0,10.5,89.0,166.5,-77.5,-16.5,6.5,-23.0
30,BOU,LB,1,16.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,12.0,26.0,58.0,4.0,0.0,0.0,4.0,56.0,0.0,0.0,32.0,0.0,0.0,135.0,-43.0,0.0,18.0,0.0,-15.5,124.5,-140.0,31.5,10.5,97.0
151,WHU,AM,1,15.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,-8.0,0.0,4.0,0.0,20.0,24.0,-4.0,-5.0,-1.0,-4.0
32,BOU,RB,2,14.75,0.0,4.0,1.0,0.0,14.0,2.0,0.0,6.0,0.0,20.0,8.0,0.0,0.0,0.0,28.0,0.0,1.0,12.0,2.0,0.0,57.0,-11.25,0.0,14.0,0.0,-12.0,98.0,-124.0,41.5,16.0,101.5
96,LIV,RM,1,13.5,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,16.0,-2.5,0.0,2.0,17.0,21.0,21.0,0.0,-7.5,-5.0,-2.5
54,CHE,DM,1,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,16.0,-4.0,0.0,4.0,4.25,20.0,20.0,0.0,-8.0,-4.0,-4.0
62,CHE,WB,1,12.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,23.0,-3.0,0.0,4.0,0.0,19.0,37.0,-18.0,-7.0,-14.0,15.0
51,BUR,RW,2,9.38,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,10.5,6.0,0.0,30.5,-21.12,0.0,15.0,5.38,83.5,94.5,-11.0,-64.75,-33.5,-31.25
40,BRF,LW,2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,8.0,2.0,0.0,12.5,-6.5,0.0,4.0,3.25,12.0,14.0,-6.0,4.0,11.0,-7.0
31,BOU,LW,3,6.33,0.0,2.67,0.0,0.0,2.67,1.33,0.0,1.33,1.33,4.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0,13.33,4.0,0.0,18.0,-11.67,0.0,8.0,4.83,30.0,46.0,-16.0,-11.0,8.0,-19.0
134,NOT,LW,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,4.0,0.0,10.0,-6.0,0.0,4.0,3.25,12.0,12.0,0.0,-8.0,-2.0,-6.0
142,SHU,LM,1,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,6.0,-3.0,0.0,3.0,1.5,6.0,6.0,0.0,-3.0,0.0,-3.0
48,BUR,LW,2,-1.88,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,8.5,0.0,0.0,6.38,-8.25,0.0,4.0,4.38,2.0,13.0,-11.0,-5.75,-0.25,-5.5
