"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*06ew2*","Axel Disasi","CHE","D","70","dsb_ff","CHE 0<br/>@BOU 0 F","9","9","19%","206.32","79%","-2.2%","1","1","90","0","0.0","0","0","0","0","2","0","1","0","5","0","0","1"
"*05nt6*","Eberechi Eze","CRY","M","12","XXX","CRY 1<br/>@AVL 3 F","8.5","8.5","100%","27.73","100%","0%","1","1","90","0","0.0","0","0","4","2","2","3","1","0","5","0","0","0"
"*055se*","Marvelous Nakamba","LUT","M","131","FA","LUT 0<br/>@FUL 1 F","8.5","8.5","6%","364.06","29%","+21.6%","1","1","90","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
"*06do9*","Milos Kerkez","BOU","D","251","FA","CHE 0<br/>@BOU 0 F","8.5","8.5","39%","142.5","27%","-7.1%","1","1","72","0","0.0","0","0","0","0","4","0","1","0","7","0","0","1"
"*06fxu*","Ibrahim Sangare","NOT","M","280","FA","BUR 1<br/>@NOT 1 F","8.5","8.5","0%","-","10%","-3.7%","1","1","90","0","0.0","0","0","1","0","3","0","0","0","3","1","0","0"
"*068yi*","Illia Zabarnyi","BOU","D","219","FA","CHE 0<br/>@BOU 0 F","8.5","8.5","0%","1209.18","7%","-0.9%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","1"
"*05n07*","Pedro Porro","TOT","D","52","dsb_ff","SHU 1<br/>@TOT 2 F","8","8","100%","52.17","99%","-0.2%","1","1","88","0","0.0","0","0","1","0","0","1","0","0","0","0","0","0"
"*06f7b*","Vinicius de Souza Costa","SHU","M","163","FA","SHU 1<br/>@TOT 2 F","8","8","0%","1193.43","3%","-0.1%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*02lp9*","Kyle Walker","MCI","D","84","Kish123","MCI 3<br/>@WHU 1 F","7.5","7.5","73%","119.34","96%","+0.9%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","0"
"*051k8*","Conor Gallagher","CHE","M","91","Maddihat","CHE 0<br/>@BOU 0 F","7.5","7.5","59%","137.81","77%","+1%","1","1","90","0","0.0","0","0","1","1","3","1","0","0","3","0","0","1"
"*05tre*","Vitaly Janelt","BRF","M","136","FA","BRF 0<br/>@NEW 1 F","7.5","7.5","2%","1120.75","10%","+2.8%","1","1","71","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05nt7*","Thiago Silva","CHE","D","63","Adam","CHE 0<br/>@BOU 0 F","7.25","7.25","78%","124.26","91%","-0.3%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","1"
"*05mxa*","Joel Veltman","BHA","D","225","FA","BHA 3<br/>@MUN 1 F","7.25","7.25","33%","151.68","25%","-4.7%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","0"
"*03amm*","Reece Burke","LUT","D","178","FA","LUT 0<br/>@FUL 1 F","7.25","7.25","0%","1167.68","3%","+2.8%","1","1","80","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yld*","Luis Diaz","LIV","F","92","Adam","LIV 3<br/>@WOL 1 F","7","7","100%","25.29","100%","-0.1%","1","0","45","0","0.0","0","0","3","1","1","0","0","0","1","0","0","0"
"*05opj*","Elliot Anderson","NEW","M","114","W (Fri)","BRF 0<br/>@NEW 1 F","7","7","16%","239.65","28%","+17.8%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","1"
